client,vendor_account_number,country_key,name,name_2,name_3,name_4,city,district,po_box,po_box_postal_code,postal_code,region,sort_field,matchcode_search_term_1,matchcode_search_term_2,matchcode_search_term_3,title_anred,train_station,international_location_number_1,international_location_number_2,authorization_group,industry_key,international_location_number_check_digit,data_communication_line_num,data_medium_exchange_indicator,data_medium_exchange_instruction_key,record_created_on,object_created_by,isr_susbcriber_num,group_key,vendor_account_group,competitor,master_record_central_deletion_flag,physical_inventory_blocking_indicator,centrally_imposed_purchasing_block,language_text,vat_liability,one_time_account_indicator,alternative_payee_allowed_indicator,company_id,natural_person,function_that_will_be_blocked,birthdate_of_person_withholding_tax,last_review,vendor_qm_system,one_time_account_reference_account_group,po_box_city,plant,vendor_subrange_indicator,plant_level_indicator,factory_calendar_key,data_transfer_status,tax_jurisdiction,payment_block,standard_carrier_access_code,forwarding_agent_freight_group,transportation_zone,alternative_payee_indicator,service_agent_procedure_group,profession,shipment_details,external_manufacturer_code_name,uniform_resource_locator,representative_name,business_type,industry_type,change_authorization_status,changes_confirmation_status,last_change_confirmation_time,master_record_central_deletion_block,certification_validity_date,vendor_proof_of_delivery_relevant_indicator,master_record_account_number,carrier_confirmation_indicator,micro_company_indicator,liability_terms,business_purpose_completed_flag,industry_main_type,company_size,declaration_regimen_pis_or_cofins,currency,agency_location_code,payment_office,processor_group,subledger_acct_preprocessing_procedure,name_1_pson1,name_2_pson2,name_3_pson3,first_name,title_psotl,transportation_chain,staging_time_in_days,schedule_procedure,cross_docking_for_collective_numbering,global_dnb_code,global_dnb_name,is_quarantined,start_at,end_at
100,0001055713,MX,AUTOTRANSPORTES DE CARGA TRES,GUERRAS SA DE CV, , ,CELAYA,CELAYA, , ,38110,GUA,AUTOTRANSP,AUTOTRANSPORTES DE CARGA,GUERRAS SA DE CV,CELAYA, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, ,NS TRANSAC,ZKRD, , , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,381, , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,0001055714,MX,FERROCARRIL MEXICANO SA DE CV, , , ,CIUDAD DE MEXICO,CIUDAD DE MEXICO, , ,11700,CMX,FERROCARRI,FERROCARRIL MEXICANO SA D, ,CIUDAD DE MEXICO, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, ,NS TRANSAC,ZKRD, , , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,117, , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,0003067646,MX,AUTOTRANSPORTES DE CARGA TRES,GUERRAS SA DE CV, , ,CELAYA,CELAYA, , ,38110,GUA,AUTOTRANSP,AUTOTRANSPORTES DE CARGA,GUERRAS SA DE CV,CELAYA, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, , ,Z006, , , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,0003067647,MX,FERROCARRIL MEXICANO SA DE CV, , , ,CIUDAD DE MEXICO,CIUDAD DE MEXICO, , ,11700,CMX,FERROCARRI,FERROCARRIL MEXICANO SA D, ,CIUDAD DE MEXICO, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, , ,Z006, , , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,0005065801,MX,AUTOTRANSPORTES DE CARGA TRES,GUERRAS SA DE CV, , ,CELAYA,CELAYA, , ,38110,GUA,AUTOTRANSP,AUTOTRANSPORTES DE CARGA,GUERRAS SA DE CV,CELAYA, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, ,NS TRANSAC,Z004, , , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,381, , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,0005065802,MX,FERROCARRIL MEXICANO SA DE CV, , , ,CIUDAD DE MEXICO,CIUDAD DE MEXICO, , ,11700,CMX,FERROCARRI,FERROCARRIL MEXICANO SA D, ,CIUDAD DE MEXICO, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, ,NS TRANSAC,Z004, , , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,117, , , , , , , ,NEP_Transportation, , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,ARATY,US,ARATY, , , , , , , , , ,ARATY,ARATY, , , , ,0,0, , ,0, , , ,2024-02-07 06:00:00.000000,ZNP0025, , ,MNFR, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,BEGUELLI,US,BEGUELLI, , , , , , , , , ,BEGUELLI,BEGUELLI, , , , ,0,0, , ,0, , , ,2024-02-07 06:00:00.000000,ZNP0025, , ,MNFR, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,FOTEK,US,FOTEK, , , , , , , , , ,FOTEK,FOTEK, , , , ,0,0, , ,0, , , ,2024-02-07 06:00:00.000000,ZNP0025, , ,MNFR, , , , ,E, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , , , , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
100,M020,MX,Autotransportes De Carga,Tresguerras Sa De Cv, , ,CELAYA, , , ,38110,GUA,M020,AUTOTRANSPORTES DE CARGA,TRESGUERRAS SA DE CV,CELAYA, , ,0,0, , ,0, , , ,2024-02-09 06:00:00.000000,ZBL3049, , ,0005,M020, , , ,S, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , , , , , ,X, , , , ,381, , , , , , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , , , , , , , , , , , , , , , , , ,0, , , , ,false,"",2024-02-06 08:47:14.000000
