client,material_number,plant,maintainance_status,flag_deletion_client_level,valuation_category,batch_management_indicator,plant_material_status,plant_material_status_valid_date,abc_indicator,critical_part_indicator,purchasing_group,unit_of_issue,material_mrp_profile,mrp_type,mrp_controller,mrp_controller_buyer_indicator,planned_delivery_time,receipt_processing_time_in_days,period_indicator,assembly_scrap_percent,lot_size,procurement_type,special_procurement_type_sobsl,reorder_point,safety_stock,minimum_lot_size,maximum_lot_size,fixed_lot_size,purchase_order_quantity,max_stock_level,ordering_costs,dependent_requirements,storage_costs_indicator,alternative_bom_selection_method,discontinuation_indicator,effective_out_date,follow_up_material,requirements_grouping_indicator,mixed_mrp_indicator,scheduling_margin_key_floats,planned_order_automatic_fix_indicator,production_orders_release_indicator,backflush_indicator,production_supervisor,processing_time,setup_and_teardown_time,interoperation_time,base_quantity,inhouse_production_time,max_storage_period,max_storage_period_unit,stock_withrawal_from_prod_bin_indicator,rough_cut_plan_material_indicator,overdelivery_tolerance_limit,unlimited_overdelivery_allowed_indicator,underdelivery_tolerance_limit,total_replenishment_lead_time,replacement_part,surcharge_factor_for_cost,state_of_manufacture,post_to_inspection_stock,sample_for_quality_inspection,quarantine_period,control_key_for_quality_management,mean_inspection_duration,indicator_for_inspection_plan,documentation_required_indicator,active_substance_content,recurring_inspection_interval,check_sampling_inspection_date,stock_in_transfer,loading_group,batch_management_requirement_indicator,quota_arrangement_usage,service_level,splitting_indicator,plan_version,object_type,object_id,group_availability_check,fiscal_year_variant,correction_factors_indicator,shipping_setup_time,capacity_planning_base_quantity,shipping_processing_time,deactivated,source_of_supply_supply,automaticpurchase_indicator,source_list_requirement,foreign_trade_import_code_number,country_of_origin_of_material,material_region_of_origin,commodity_code_uom,material_group,profit_center,stock_in_transit,ppc_planning_calendar,repetitive_mfg_indicator,planning_time_fence,consumption_mode,backward_consumption_period,forward_consumption_period,version_indicator,alternative_bom,bom_usage,task_list_group_key,group_counter,product_costing_lot_size,special_procurement_type_sobsk,production_unit,issue_storage_location,mrp_group,component_scrap,certificate_type,inspection_setup_indicator,takt_time,coverage_profile_range,local_field_name,physical_inventory_indicator,variance_key,serial_number_profile,internal_object_number,configurable_material,repetitive_manufacturing_profile,plant_negative_stocks,vendor_qm_system,planning_cycle,rounding_profile,consumption_reference_material,consumption_reference_plant,material_consumption_to_date,consumption_reference_material_multiplier,forecast_model_auto_reset,eligible_for_preferential_treatment,exemption_certificate,exemption_certificate_number,exemption_certificate_issue_date,vendor_declaration_indicator,vendor_declaration_validity_date,military_goods_indicator,is_r_service_level,co_product_indicator,planning_strategy_group,configurable_material_internal_obj_num,external_procurement_storage_loc,bulk_material_indicator,cc_fixed_indicator,stock_determination_group,material_authorization_group,planned_requirements_period_adjustment,task_list_type,uom_group_uomgr,conversion_group,air_bouyancy_factor,production_scheduling_profile,safety_time_indicator,safety_time_in_workdays,planned_order_processing,order_batch_entry_determination,uom_group_megru,material_freight_group,stock_transfer_sales_value,transit_value_at_sales_price,smooth_promotion_consumption_indicator,production_version,coproduct_fixed_price,logistics_handling_group,material_distribution_profile,tied_empties_stock,tied_empties_stock_sales_value,material_cfop_category,number_of_cap_products_list,cap_products_group_foreign_trade,pharmaceutical_products_cas_number,foreign_trade_prodcom_number,consumption_taxes_control_code,jit_delivery_schedules_item_indicator,transition_matrix_materials,material_master_record_supply_area,fair_share_rule,push_distribution_indicator,deployment_horizon_in_days,supply_demand_match_min_lot_size,supply_demand_match_max_lot_size,supply_demand_match_fixed_lot_size,supply_demand_match_lot_size_increment,material_completion_level,prod_fig_conversion_types,safety_time_period_profiles,mrp_relevancy,mrp_area_exists_indicator,cross_project_material_indicator,order_change_management_profile,apo_material_relevancy_indicator,mardh_rec,current_period,current_period_fiscal_year,minimum_safety_stock,do_not_cost,putaway_and_stock_removal_strategy,original_batch_management_indicator,original_batches_reference_material,valuated_goods_receipt_blocked_stock,segmentation_strategy,segmentation_status,segmentation_strategy_scope,sort_stock_based_on_segment,consumption_priority,discrete_batch_number,stock_protection_indicator,default_stock_segment_value,status_for_material_and_segment,plant_material_status_valid_date_sgt,order_allocation_run,indicator_season_active_in_inventory_management,variant_group,tr_to_to_batch_assignment_indicator,guid_char_format,profile_key,data_change,percentage_tolerance_plus,percentage_tolerance_minus,material_packing_group,automatic_picking_zone_line,packaging_material_id,packaging_materials_lengthwise,iuid_relevant_for_customer,structure_type_of_uii,external_allocation_of_uii,consignment_control,goods_issue_processing_time,purchasing_across_purchasing_group,reference_determination_schema,minimum_target_range_of_coverage,maximum_target_range_of_coverage,target_stock,abc_xyz_inidcator,zz_service_level,source_list_requirement_zz,zzdps_plant,ztpp_plant,pallet_stack,pallet_pattern,mills_page,mills_line,load_capacity,minimum_order_quantity_in_base_uom,ash,is_quarantined,__start_at,__end_at
100,000000000000000002,4225,LQ, , , ,02,2023-08-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,3,2024,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:42:48.000000,""
100,000000000000000096,4216,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:38:58.000000,""
100,000000000000000106,4216,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:38:58.000000,""
100,000000000000000121,4216,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:38:59.000000,""
100,000000000000000131,4216,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:39:00.000000,""
100,000000000000000138,4216,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:39:00.000000,""
100,000000000000000152,2151,VD, , , , ,1900-01-01 06:00:00.000000, , , , ,0002,ND,999, ,0,0,M,0.00,EX,E, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,1, , , ,1900-01-01 06:00:00.000000, , , ,000, , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000,0001, , ,0.0, , , ,0,02, , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,3,2011,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:41:26.000000,""
100,000000000000000159,4216,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:39:00.000000,""
100,000000000000000171,4272,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:39:00.000000,""
100,000000000000000176,4272,LQ, , , ,02,2021-07-21 05:00:00.000000, , , , , , , , ,0,0,M,0.00, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00, , , , ,1900-01-01 06:00:00.000000, , , , , , , , ,0.00,0.00,0.00,0.000,0,0, , , ,0.0, ,0.0,0, ,0.00, , ,0.0,0, ,0, , ,0,0,1900-01-01 06:00:00.000000,0.000, , , ,0.0, , , ,0, , , ,0.00,0.000,0.00, , , , , , , , , , ,0.000, , ,0, ,0,0, , , , , ,0.000, , , , ,0.00, , ,0, , , , , ,0, , , , , , , , ,1900-01-01 06:00:00.000000,0.00, , , , ,1900-01-01 06:00:00.000000, ,1900-01-01 06:00:00.000000, , , , ,0, , , , , ,0, , , ,0.0, , ,0, , , , ,0.00,0.00, , , , , ,0.000,0.00, , , , , , , , , , , ,0,0.000,0.000,0.000,0.000,0, , , , , , , , ,2,2022,0.000, , , , ,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000, , , , , , , ,0.0,0.0, , , , , , , , ,0, , ,0,0,0.000, ,0.000, , , , , , , , ,0.000, ,false,2023-10-05 08:39:00.000000,""
