client,material_number,plant,current_period_fiscal_year,current_period,stock_in_transfer,stock_in_transit,stock_transfer_sales_value,transit_value_at_sales_price,tied_empties_stock,tied_empties_stock_sales_value,valuated_goods_receipt_blocked_stock,is_quarantined
100,000000000000000003,4225,2024,2,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000066,5008,2010,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000067,5008,2010,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000070,5009,2010,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000100,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000103,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000105,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000106,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000107,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000108,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000111,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000114,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000115,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000116,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000122,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000123,2151,2010,11,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000126,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000127,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000128,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000133,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000135,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000141,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000152,2151,2011,2,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000156,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000158,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000160,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000164,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000165,4216,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000171,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000173,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000180,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000193,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000197,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000199,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000200,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000203,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000205,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000209,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000210,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000214,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000222,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000223,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000235,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000238,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000240,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
100,000000000000000241,4272,2022,1,0.000,0.000,0.00,0.00,0.000,0.00,0.000,false
