client,material_number,valuation_area,valuation_type,current_period_fiscal_year,current_period,total_valued_stock,value_of_total_valuated_stock,price_control_indicator,moving_average_price,standard_price,price_unit,valuation_class,moving_average_price_value,total_valued_stock_sales_price,is_quarantined
100,000000000000000261,4266, ,2022,4,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000542,4238, ,2021,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000000581,4238, ,2023,4,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000613,5009, ,2022,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000633,4254, ,2023,7,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000681,4253, ,2018,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000000810,5009, ,2023,8,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000883,5009, ,2021,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000000892,4254, ,2021,9,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000893,4254, ,2020,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000894,4254, ,2020,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000943,4225, ,2022,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000000973,4225, ,2023,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000000980,4225, ,2023,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000001003,2128, ,2014,5,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000001003,5446, ,2013,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000001005,5006, ,2009,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000001007,5012, ,2010,5,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000001009,2104, ,2010,5,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000001010,5014, ,2009,12,0.000,0.00,V,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010650,7013, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010650,7157, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010650,7161, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010650,7175, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010650,7185, ,2011,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010651,7004, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010651,7032, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010651,7037, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010651,7042, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010651,7064, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010651,7137, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010651,7146, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010651,7154, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010651,7157, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010652,7009, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010652,7013, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010652,7037, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010652,7145, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010652,7151, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010652,7157, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010652,7173, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010653,7001, ,2010,12,0.000,0.00, ,0.00,0.00,0, ,0.00,0.00,true
100,000000000000010653,7013, ,2012,3,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010653,7017, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010653,7037, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010653,7140, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010653,7144, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
100,000000000000010653,7153, ,2011,12,0.000,0.00,S,0.00,0.00,1, ,0.00,0.00,true
