client,material_number,batch_number,flag_deletion_client_level,created_on,object_created_by,changed_by,date_last_change,availability_date,shelf_life_expiration_date,cost_component_initial_cost_split,batch_in_restricted_use_stock,date_of_last_status_change,vendor_account_number,vendor_batch_number,original_batch_number_deactivated,original_plant_deactivated,original_material_deactivated,unit_of_issue_for_batch_deactivated,date_of_last_goods_receipt,date_for_unrestricted_use_fvdt1,date_for_unrestricted_use_fvdt2,date_for_unrestricted_use_fvdt3,date_for_unrestricted_use_fvdt4,date_for_unrestricted_use_fvd5,date_for_unrestricted_use_fvdt6,country_of_origin_of_material,material_region_of_origin,material_group,next_inspection_date,manufacture_date,internal_object_no_batch_classification,batch_no_longer_active,type_of_batch,stock_segment,utc_time_stamp_short_form,time_zone_sys,time_zone_usr,is_quarantined
100,000000000000100319,ZAP0272156, ,2017-06-05 05:00:00.000000,ZVC0008,ZVC0008,2017-06-15 05:00:00.000000,1900-01-01 06:00:00.000000,2017-06-14 05:00:00.000000, , ,1900-01-01 06:00:00.000000,WALMART, , , , , ,2017-06-05 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-06-04 05:00:00.000000,0, , , ,0, , ,false
100,000000000000100392,JA041217-1, ,2017-06-16 05:00:00.000000,ZVC0008,ZVC0008,2017-11-02 05:00:00.000000,1900-01-01 06:00:00.000000,2017-12-01 06:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2017-06-16 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-03-09 06:00:00.000000,0, , , ,0, , ,false
100,000000000000100509,JAG1012Q03, ,2017-10-20 05:00:00.000000,ZVC0008, ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,2018-10-12 05:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2017-10-20 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-10-12 05:00:00.000000,0, , , ,0, , ,false
100,000000000000100610,288210412, ,2017-12-12 06:00:00.000000,ZVC0008, ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,2018-06-07 05:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2017-12-12 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-12-12 06:00:00.000000,0, , , ,0, , ,false
100,000000000000100761,20371-1, ,2018-03-28 05:00:00.000000,ZVC0008, ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,2019-03-28 05:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2018-03-28 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2018-03-28 05:00:00.000000,0, , , ,0, , ,false
100,000000000000100981,1220328, ,2018-05-14 05:00:00.000000,ZVC0008, ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,2020-06-07 05:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2018-05-14 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-06-17 05:00:00.000000,0, , , ,0, , ,false
100,000000000000101090,17004260, ,2019-01-25 06:00:00.000000,ZVC0008, ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,2019-05-07 05:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2019-01-25 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-07-07 05:00:00.000000,0, , , ,20190125163053,UTC,CST,false
100,000000000000200305,ZJS1234068, ,2017-03-13 05:00:00.000000,ZVC0008,ZVC0008,2017-03-14 05:00:00.000000,1900-01-01 06:00:00.000000,2018-03-04 06:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2017-03-14 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-03-09 06:00:00.000000,0, , , ,0, , ,false
100,000000000000200320,ZCK0209074, ,2017-03-30 05:00:00.000000,ZVC0008, ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,0, , , ,0, , ,false
100,000000000000200391,ZJP0022207, ,2017-08-07 05:00:00.000000,ZVC0008,ZVC0008,2017-08-15 05:00:00.000000,1900-01-01 06:00:00.000000,2018-07-26 05:00:00.000000, , ,1900-01-01 06:00:00.000000, , , , , , ,2017-08-15 05:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000,1900-01-01 06:00:00.000000, , , ,1900-01-01 06:00:00.000000,2017-07-26 05:00:00.000000,0, , , ,0, , ,false
