client,material_number,plant,issue_loc_for_prod_order,batch_number,flag_deletion_client_level,created_on,object_created_by,date_last_change,changed_by,current_period_fiscal_year,current_period,physical_inventory_blocking_indicator,valuated_unrestricted_use_stock,stock_in_transfer,stock_in_qual_inspection,restricted_batches_total_stock,blocked_stock,blocked_stock_return,previous_period_valuated_unrestricted_use_stock,previous_period_stock_in_transfer,previous_period_stock_in_qual_inspection,previous_period_restricted_use_stock,previous_period_blocked_stock,previous_period_blocked_stock_returns,phys_inventory_whse_stock_current_year_indicator,phys_inventory_qual_insp_stock_current_year_indicator,phys_inventory_restricted_use_stock_indicator,phys_inventory_blocked_stock_indicator,phys_inventory_stock_previous_year_indicator,phys_inventory_qual_insp_stock_prev_period_indicator,phys_inventory_restricted_use_stock_prev_period_indicator,phys_inventory_blocked_stock_prev_period_indicator,country_of_origin_of_material,current_phys_inventory_fiscal_year_indicator,mchbh_rec_exists_indicator,stock_segmen_chrue,stock_segment_sgt_scat,is_quarantined
100,795,549,3,1161109,,2017-08-15 5:00:00,ZWB0019,2017-08-24 5:00:00,ZSP0189,2018,3,,12796,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,531,549,3,1223747,,2018-03-02 6:00:00,ZWB0019,2018-03-06 6:00:00,ZAH0301,2018,10,,14890,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,234,549,3,1276883,,2018-08-27 5:00:00,ZWB0019,2018-08-30 5:00:00,ZAH0301,2019,4,,8050,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,907,549,3,1376385,,2019-08-06 5:00:00,ZJF0071,2019-08-08 5:00:00,ZAH0301,2020,3,,1793,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,111,549,3,1452352,,2020-04-22 5:00:00,ZWB0019,2020-04-24 5:00:00,ZKB0275,2020,12,,1909,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,333,549,3,1493485,,2020-09-16 5:00:00,ZWB0019,2020-09-22 5:00:00,ZKB0275,2021,4,,44199,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2021,,,FALSE
100,905,549,3,1536155,,2021-01-28 6:00:00,ZWB0019,2021-01-31 6:00:00,ZAV0096,2021,9,,17045,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2021,,,FALSE
100,528,549,3,1586619,,2021-06-30 5:00:00,ZWB0019,2021-07-02 5:00:00,ZMD0387,2022,2,,18907,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2022,,,FALSE
100,202,549,3,1591515,,2021-07-15 5:00:00,ZWB0019,2021-07-16 5:00:00,ZMD0387,2022,2,,8900,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2022,,,FALSE
100,459,549,3,1650547,,2021-12-17 6:00:00,ZWB0019,2021-12-21 6:00:00,ZMD0387,2022,7,,35027,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2022,,,FALSE
100,105,549,3,1696196,,2022-04-04 5:00:00,ZWB0019,2022-04-06 5:00:00,ZMD0387,2022,11,,56000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2022,,,FALSE
100,280,549,3,1761116,,2022-09-14 5:00:00,ZWB0019,2022-09-16 5:00:00,ZMD0387,2023,4,,21589,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2023,,,FALSE
100,242,549,3,1854090,,2023-05-02 5:00:00,ZWB0019,2023-05-04 5:00:00,ZAH0301,2023,12,,23456,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2023,,,FALSE
100,761,549,3,1144169,,2017-06-20 5:00:00,ZWB0019,2017-06-26 5:00:00,ZSP0189,2018,2,,18018,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,X,,FALSE
100,854,549,3,1437476,,2020-02-26 6:00:00,ZWB0019,2020-02-28 6:00:00,ZHM3007,2020,10,,23888,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,554,549,3,1507295,,2020-10-26 5:00:00,ZWB0019,2020-10-29 5:00:00,ZJB3064,2021,6,,19456,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2021,,,FALSE
100,907,549,3,1134278,,2017-05-10 5:00:00,ZWB0019,2017-05-12 5:00:00,ZSP0189,2017,12,,92,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2017,,,FALSE
100,356,549,3,1143141,,2017-06-16 5:00:00,ZWB0019,2017-06-20 5:00:00,ZSP0189,2018,1,,242,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,374,549,3,1157071,,2017-08-03 5:00:00,ZWB0019,2017-08-07 5:00:00,ZJM0711,2018,3,,100,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,144,549,3,1159560,,2017-08-10 5:00:00,ZWB0019,2017-08-15 5:00:00,ZSP0189,2018,3,,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1170814,,2017-09-12 5:00:00,ZWB0019,2017-09-14 5:00:00,ZAH0301,2018,4,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1185163,,2017-10-23 5:00:00,ZWB0019,2017-10-25 5:00:00,ZSP0189,2018,6,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1210612,,2018-01-18 6:00:00,ZWB0019,2018-01-19 6:00:00,ZSP0189,2018,8,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1214256,,2018-01-30 6:00:00,ZWB0019,2018-02-01 6:00:00,ZSP0189,2018,9,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1217732,,2018-02-12 6:00:00,ZWB0019,2018-02-14 6:00:00,ZSP0189,2018,9,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1223749,,2018-03-02 6:00:00,ZWB0019,2018-03-06 6:00:00,ZAH0301,2018,10,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1228192,,2018-03-19 5:00:00,ZWB0019,2018-03-21 5:00:00,ZSP0189,2018,10,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1231511,,2018-03-30 5:00:00,ZRM0189,2018-04-03 5:00:00,ZSP0189,2018,11,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1239956,,2018-04-30 5:00:00,ZWB0019,2018-05-15 5:00:00,ZSP0189,2018,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1243153,,2018-05-11 5:00:00,ZRM0189,2018-05-17 5:00:00,ZSP0189,2018,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1246288,,2018-05-24 5:00:00,ZWB0019,2018-05-25 5:00:00,ZSP0189,2018,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2018,,,FALSE
100,1000005,549,3,1268884,,2018-08-06 5:00:00,ZWB0019,2018-08-08 5:00:00,ZAH0301,2019,3,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1278260,,2018-08-30 5:00:00,ZWB0019,2018-09-04 5:00:00,ZSP0189,2019,4,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1278823,,2018-08-31 5:00:00,ZRM0189,2018-09-05 5:00:00,ZAH0301,2019,4,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1283251,,2018-09-13 5:00:00,ZWB0019,2018-09-17 5:00:00,ZSP0189,2019,4,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1298963,,2018-10-30 5:00:00,ZWB0019,2018-11-01 5:00:00,ZSP0189,2019,6,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1301482,,2018-11-07 6:00:00,ZWB0019,2018-11-09 6:00:00,ZSP0189,2019,6,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1308723,,2018-12-03 6:00:00,ZWB0019,2018-12-05 6:00:00,ZSP0189,2019,7,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1323786,,2019-01-23 6:00:00,ZWB0019,2019-01-25 6:00:00,ZSP0189,2019,9,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1326661,,2019-02-01 6:00:00,ZCL0135,2019-02-05 6:00:00,ZSP0189,2019,9,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1332620,,2019-02-22 6:00:00,ZCL0135,2019-02-26 6:00:00,ZSP0189,2019,10,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,X,,FALSE
100,1000005,549,3,1339914,,2019-03-21 5:00:00,ZCL0135,2019-03-22 5:00:00,ZSP0189,2019,10,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1347516,,2019-04-18 5:00:00,ZCL0135,2019-04-19 5:00:00,ZSP0189,2019,11,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1348903,,2019-04-25 5:00:00,ZWB0019,2019-04-30 5:00:00,ZAH0301,2019,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1351488,,2019-05-07 5:00:00,ZWB0019,2019-05-09 5:00:00,ZSP0189,2019,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1353609,,2019-05-16 5:00:00,ZWB0019,2019-05-17 5:00:00,ZSP0189,2019,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2019,,,FALSE
100,1000005,549,3,1359093,,2019-06-07 5:00:00,ZWB0019,2019-06-12 5:00:00,ZSP0189,2020,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1368742,,2019-07-12 5:00:00,ZWB0019,2019-07-16 5:00:00,ZSP0189,2020,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1373717,,2019-07-29 5:00:00,ZWB0019,2019-07-31 5:00:00,ZSP0189,2020,3,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1384572,,2019-08-29 5:00:00,ZWB0019,2019-09-03 5:00:00,ZSP0189,2020,4,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1388322,,2019-09-10 5:00:00,ZWB0019,2019-09-12 5:00:00,ZSP0189,2020,4,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1396392,,2019-10-03 5:00:00,ZWB0019,2019-10-04 5:00:00,ZSP0189,2020,5,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1405364,,2019-11-01 5:00:00,ZDO0022,2019-11-05 6:00:00,ZSP0189,2020,6,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1410948,,2019-11-19 6:00:00,ZDO0022,2019-11-21 6:00:00,ZSP0189,2020,6,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1417781,,2019-12-13 6:00:00,ZWB0019,2019-12-16 6:00:00,ZSP0189,2020,7,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1425372,,2020-01-15 6:00:00,ZWB0019,2020-01-17 6:00:00,ZSP0189,2020,8,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1427902,,2020-01-23 6:00:00,ZWB0019,2020-01-27 6:00:00,ZSP0189,2020,9,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1440674,,2020-03-09 5:00:00,ZWB0019,2020-03-11 5:00:00,ZKB0275,2020,10,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1442472,,2020-03-16 5:00:00,ZWB0019,2020-03-18 5:00:00,ZKB0275,2020,10,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1457813,,2020-05-14 5:00:00,ZWB0019,2020-05-19 5:00:00,ZKB0275,2020,12,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2020,,,FALSE
100,1000005,549,3,1466671,,2020-06-19 5:00:00,ZWB0019,2020-06-23 5:00:00,ZKB0275,2021,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1900-01-01 6:00:00,2021,,,FALSE
