client,material_num,plant,storage_location,batch_num,current_period_fiscal_year,current_period,clabs,cumlm,cinsm,ceinm,cspem,cretm,is_quarantined
100,000000000001000001,0549,0003,0001134829,2017,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001169675,2018,3,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001204153,2018,7,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001241385,2018,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001311966,2019,6,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001326016,2019,8,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001346177,2019,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001372660,2020,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001446472,2020,10,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001465929,2020,12,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001475470,2021,1,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001482700,2021,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001483775,2021,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001496846,2021,4,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001502847,2021,4,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001539585,2021,8,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001549415,2021,9,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001572723,2021,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001601131,2022,2,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001637648,2022,5,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001656333,2022,7,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001713702,2022,11,0.000,0.000,0.000,0.000,0.000,0.000,false
100,000000000001000001,0549,0003,0001726365,2023,1,0.000,0.000,0.000,0.000,0.000,0.000,false
