client,material_num,plant,storage_location,batch_num,special_stock_ind,vendor_account_num,lvorm,ersda,ernam,aenam,laeda,lfgja,lfmon,spers,slabs,sinsm,seinm,sspem,svmla,svmin,svmei,svmsp,kzisl,kzisq,kzise,kziss,kzvsl,kzvsq,kzvse,kzvss,mmeng,ameng,kodll,kojin,korue,is_quarantined
100,000000000001020097,5401,0001,5401022720,K,0001026611, ,2020-08-17 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020097,5401,0001,5401022820,K,0001026611, ,2020-08-17 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020097,5401,0001,5401030320,K,0001026611, ,2020-10-30 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020097,5401,0001,5401035620,K,0001026611, ,2020-12-22 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021, ,false
100,000000000001020097,5401,0001,5401105020,K,0001026611, ,2021-02-22 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020097,5401,0001,5401123820,K,0001026611, ,2021-08-27 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2022,5, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2022, ,false
100,000000000001020149,5401,0001,5401019820,K,0001026611, ,2020-07-17 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020149,5401,0001,5401019920,K,0001026611, ,2020-07-20 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,3, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020149,5401,0001,5401030320,K,0001026611, ,2020-10-30 05:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,7, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
100,000000000001020149,5401,0001,5401104020,K,0001026611, ,2021-02-10 06:00:00.000000,Q001516, ,1900-01-01 06:00:00.000000,2021,10, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , ,0.000,0.000,1900-01-01 06:00:00.000000,2021,X,false
