client,material_num,plant,storage_location,batch_num,special_stock_ind,sales_distribution_document_num,sd_document_item_num,lfgja,lfmon,kaspr,kalab,kains,kaspe,kavla,kavin,kavsp,kaill,kailq,kails,kavll,kavlq,kavls,kafll,kaflq,kafls,kadll,kaein,kavei,ersda,kajin,karue,sgt_scat,is_quarantined
100,000000000389832643,5617,0001,5617004210,E,0009999977,10,2020,9, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-02-17 06:00:00.000000,2020, , ,false
100,000000000389832643,5617,0001,5617004210,E,0009999995,10,2020,9, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-02-14 06:00:00.000000,2020, , ,false
100,000000000389832643,5617,0001,5617004910,E,0009999999,10,2020,10, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-02-24 06:00:00.000000,2020, , ,false
100,000000000389832643,5617,0001,5617010110,E,0010069863,20,2020,11, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-04-17 05:00:00.000000,2020, , ,false
100,000000000389832643,5617,0001,5617030710,E,0010379425,10,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-11-02 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617030710,E,0010421902,10,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-11-09 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617031610,E,0010346900,10,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-11-19 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617032410,E,0010346893,10,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-11-23 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617032510,E,0010346893,10,2021,6, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-11-23 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617033010,E,0010462984,10,2021,7, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-12-07 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617033610,E,0010462984,10,2021,7, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-12-07 06:00:00.000000,2021, , ,false
100,000000000389832643,5617,0001,5617034410,E,0010471186,10,2021,7, ,0.000,0.000,0.000,0.000,0.000,0.000, , , , , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2020-12-14 06:00:00.000000,2021, , ,false
