client,material_number,plant,batch_number,special_stock_indicator,vendor_account_number,current_period_fiscal_year,current_period,physical_inventory_blocking_indicator,valuated_unrestricted_use_stock,stock_in_qual_inspection,valuated_unrestricted_use_stock_prev_period,stock_in_qual_inspection_prev_period,phys_inventory_whse_stock_current_year_indicator,phys_inventory_stock_qual_inspection_current_year_indicator,phys_inventory_stock_previous_year_indicator,phys_inventory_stock_qual_inspection_prev_period_indicator,phys_inventory_stock_following_year_indicator,phys_inventory_qual_inspection_following_year_indicator,unrestricted_use_stock_last_posted_count_date,restricted_batches_total_stock,previous_period_restricted_use_stock,created_on,mxxxh_rec_exists_indicator,subcontracting_stock_in_transfer,stock_segment,stock_segment_sgt_scat,is_quarantined
100,000000000001000278,3451,0000005854,O,0001008128,2009,2, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2008-07-10 05:00:00.000000,2009, ,0.000, ,false
100,000000000001000278,3451,0000008229,O,0001008128,2009,3, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2008-08-01 05:00:00.000000,2009, ,0.000, ,false
100,000000000001000278,3451,0000009200,O,0001008128,2009,3, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2008-08-13 05:00:00.000000,2009, ,0.000, ,false
100,000000000001000278,3451,0000009857,O,0001008128,2009,4, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2008-08-21 05:00:00.000000,2009,X,0.000, ,false
100,000000000001000278,3451,0000012407,O,0001008128,2009,4, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2008-09-10 05:00:00.000000,2009, ,0.000, ,false
100,000000000001000278,3451,0000012588,O,0001008128,2009,5, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2008-09-12 05:00:00.000000,2009,X,0.000, ,false
100,000000000001000278,3451,0000021419,O,0001008128,2009,11, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-02-24 06:00:00.000000,2009,X,0.000, ,false
100,000000000001000278,3451,0000030843,O,0001008128,2010,1, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-04-27 05:00:00.000000,2009,X,0.000, ,false
100,000000000001000278,3451,0000054282,O,0001008128,2010,2, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-06-09 05:00:00.000000,2010,X,0.000, ,false
100,000000000001000278,3451,0000073469,O,0001008128,2010,4, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-07-29 05:00:00.000000,2010,X,0.000, ,false
100,000000000001000278,3451,0000079486,O,0001008128,2010,4, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-08-24 05:00:00.000000,2010,X,0.000, ,false
100,000000000001000278,3451,0000086878,O,0001008128,2010,5, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-09-04 05:00:00.000000,2010,X,0.000, ,false
100,000000000001000278,3451,0000112721,O,0001008128,2010,7, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2009-10-28 05:00:00.000000,2010,X,0.000, ,false
100,000000000001000278,3451,0000149018,O,0001008128,2010,11, ,0.000,0.000,0.000,0.000, , , , , , ,1900-01-01 06:00:00.000000,0.000,0.000,2010-01-26 06:00:00.000000,2010,X,0.000, ,false
