order_release_gid,order_release_xid,order_release_name,order_release_type_gid,is_template,order_base_gid,source_location_gid,dest_location_gid,early_pickup_date,late_pickup_date,early_delivery_date,late_delivery_date,fixed_itinerary_gid,assigned_itinerary_gid,fixed_sell_itinerary_gid,ship_unit_origin,total_weight,total_weight_uom_code,total_weight_base,total_volume,total_volume_uom_code,total_volume_base,total_packaging_unit_count,total_item_package_count,max_length,max_length_uom_code,max_length_base,max_width,max_width_uom_code,max_width_base,max_height,max_height_uom_code,max_height_base,plan_from_location_gid,plan_to_location_gid,assigned_sell_itinerary_gid,indicator,bulk_plan_gid,best_direct_cost_buy,best_dircost_buy_currency_gid,best_direct_cost_buy_base,best_direct_cost_sell,best_dircost_sell_currency_gid,best_direct_cost_sell_base,best_direct_rateoffer_gid_buy,best_direct_rateoffer_gid_sell,buy_general_ledger_gid,sell_general_ledger_gid,total_net_weight,total_net_weight_uom_code,total_net_weight_base,total_net_volume,total_net_volume_uom_code,total_net_volume_base,sell_bulk_plan_gid,total_ship_unit_count,load_point,unload_point,pickup_is_appt,delivery_is_appt,plan_from_load_point,plan_to_unload_point,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,external_system_id,payment_method_code_gid,inco_term_gid,term_location_text,planning_group_gid,time_window_emphasis_gid,is_known_shipper,dim_rate_factor_gid,release_method_gid,final_inco_term,final_text_location,inspection_number,inspection_schedule_date,inspection_date,survey_lay_can_date,loc_number,loc_issue_date,loc_received_date,loc_latest_shipping_date,loc_negotiated_days,loc_amount,loc_amount_currency_gid,loc_amount_base,loc_advising_number,loc_confirming_number,src_location_override_gid,dest_location_override_gid,plan_from_loc_override_gid,plan_to_loc_override_gid,secondary_t_weight,secondary_t_weight_uom_code,secondary_t_weight_base,secondary_t_volume,secondary_t_volume_uom_code,secondary_t_volume_base,rate_service_profile_gid,servprov_gid,servprov_profile_gid,transport_mode_gid,mode_profile_gid,equipment_group_gid,equipment_group_profile_gid,rate_offering_gid,rate_geo_gid,sell_rate_offering_gid,sell_rate_geo_gid,must_ship_direct,must_ship_thru_x_dock,must_ship_thru_pool,ship_with_group,primary_leg_source_loc_gid,prim_leg_src_loc_override_gid,port_of_load_location_gid,port_of_load_loc_override_gid,port_of_dis_location_gid,port_of_dis_loc_override_gid,primary_leg_dest_loc_gid,prim_leg_dest_override_loc_gid,import_license_required,import_license_issue_date,import_license_receive_date,import_license_expiration_date,import_license_number,loc_expiration_date,is_loc_required,inspection_required,unitization_condition_name,stuff_location_gid,destuff_location_gid,customer_unitization_request,default_stowage_mode,consolidation_type_gid,move_perspective_gid,quote_gid,commercial_payment_code_gid,is_loc_stale,ult_dest_country_code3_gid,template_type,bundling_type,is_consolidate_or_equipment,duty_paid,quote_option_number,partition_gid,total_declared_value,total_declared_value_gid,total_declared_value_base,buy_itinerary_profile_gid,sell_itinerary_profile_gid,buffer_type,sell_servprov_gid,sell_servprov_profile_gid,is_ignore_location_calendar,rate_service_gid,ship_unit_width,ship_unit_width_uom_code,ship_unit_width_base,ship_unit_length,ship_unit_length_uom_code,ship_unit_length_base,ship_unit_height,ship_unit_height_uom_code,ship_unit_height_base,ship_unit_diameter,ship_unit_diameter_uom_code,ship_unit_diameter_base,transport_handling_unit_gid,on_rt_execution,is_splittable,pickup_routing_sequence_gid,dropoff_routing_sequence_gid,latest_est_delivery_date,otm_version,priority,latest_est_pickup_date,marked_for_purge,pickup_rail_carrier,delivery_rail_carrier,equipment_type_gid,domain_name,insert_user,insert_date,update_user,update_date,rail_route_code_gid,em_phone_number,leg_consolidation_group_gid,is_pre_entered_pu,routing_constraint_gid,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,allocation_group_gid,earliest_est_pickup_date,job_name,load_date,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,early_sail_date,external_voyage_code,is_direct_voyage,is_topoff,late_sail_date,voyage_gid
RC3.0012042888,0012042888,"",RC3.OUTBOUND_SO,N,"",RC3.3926,RC3.0020016478_8827OLDRIVERRD_13403_USA,2024-06-04 04:01:00.000000,2024-06-05 03:59:00.000000,2024-06-05 09:15:00.000000,2024-06-05 09:15:00.000000,"","","","",9454.800000000001000,LB,9454.800000000001000,314.765999999999960,CUFT,314.765999999999960,"",852,"","","","","","","","","","",RC3.0020016430,"","","","","","","","","","","",RC3.504004,"",9039.140000000007000,LB,9039.140000000007000,296.952000000000060,CUFT,296.952000000000060,"",91.000000000000000,"","",N,N,"","","","","","","","",PPD,FOB,DESTINATION,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,5881413798,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 16:11:56.000000,RC3.ADMIN,2024-05-28 16:12:04.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",5.938000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:28.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551212-001,0004551212-001,"",RC3.INBOUND_PO,N,RC3.0004551212,RC3.0001002040,RC3.50060004,2024-05-28 19:25:37.000000,"",2024-07-10 05:01:00.000000,2024-07-11 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,48000.000000000000000,LB,48000.000000000000000,1536.000000000000000,CUFT,1536.000000000000000,"",48000,"","","","","","","","","","",RC3.5006,"",G,"","","","","","","","","",RC3.538098,"",48000.000000000000000,LB,48000.000000000000000,1536.000000000000000,CUFT,1536.000000000000000,"",1.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0004551212,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000000000010610,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 14:25:36.000000,RC3.ADMIN,2024-05-28 14:25:45.000000,"","","",N,"","","","","","","","","","",RC3.703031913N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0000121533-001,0000121533-001,"",RC3.INBOUND_PO,N,RC3.0000121533,RC3.0001054067,RC3.62130001,2024-05-28 20:52:14.000000,"",2024-06-17 04:01:00.000000,2024-06-18 03:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"",BS,33841.500000000000000,LB,33841.500000000000000,2803.500000000000000,CUFT,2803.500000000000000,"",4500,"","","","","","","","","","","","",G,"","","","","","","","","",RC3.538098,"",29641.500000000000000,LB,29641.500000000000000,2623.500000000000000,CUFT,2623.500000000000000,"",60.000000000000000,"","",N,N,"","",TENDERED,"","","","","",PPD,FOB,DESTINATION,"",BOTH,N,"",RC3.ONE_TO_ONE_OB,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.CPU,"",RC3.NON-RAIL,"",RC3.VENDOR_EQUIP,"","","","",N,N,N,0000121533,"","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.ADMIN,2024-05-28 15:52:12.000000,RC3.ADMIN,2024-05-28 15:52:22.000000,"","","",N,"","","","","","","","","","",RC3.703032271N,CAN,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.4504021157,4504021157,"",RC3.OUTBOUND_STO,N,"",RC3.2105,RC3.3877,2024-06-06 07:01:00.000000,2024-06-07 06:59:00.000000,2024-06-07 07:01:00.000000,2024-06-08 06:59:00.000000,"",RC3.USA_USA_TL_IM_LTL_POOL,"","",44455.680000000010000,LB,44455.680000000010000,988.560000000000100,CUFT,988.560000000000100,"",3168,"","","","","","","","","","","","",G,RC3.20240528-0059,"","","","","","","","",RC3.504096,"",43195.680000000010000,LB,43195.680000000010000,934.560000000000100,CUFT,934.560000000000100,"",18.000000000000000,"","",N,N,"","",TENDERED,"",BOOK_MODIFIED,"","","","","","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 12:38:06.000000,RC3.ADMIN,2024-05-28 15:56:55.000000,"","","",N,"","","","","","","","","","",RC3.703032181N,CAG,"","",ORDER_CREATE_SUCCESS,SOAK,"","","","","",0E-15,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:29.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551588,0004551588,"",RC3.INBOUND_STO,N,"",RC3.5395,RC3.50530003,2024-05-29 04:01:00.000000,2024-05-30 03:59:00.000000,2024-05-29 04:01:00.000000,2024-05-30 03:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"","",3227.984999999999700,LB,3227.984999999999700,9.876000000000000,CUFT,9.876000000000000,"",1,"","","","","","","","","","",RC3.5053,"",G,"","","","","","","","","",RC3.538098,"",3081.420000000000000,LB,3081.420000000000000,0.105000000000000,CUFT,0.105000000000000,"",3.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,"","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.CPU,RC3.NON_CPU,"","","","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000009876543210,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 16:52:43.000000,RC3.ADMIN,2024-05-28 16:52:50.000000,"","","",N,"","","","","","","","","","",RC3.703032688N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0000033693,0000033693,"",RC3.OUTBOUND_SO,N,"",RC3.6213,RC3.0020045844_190THEWESTMALL_M9C5L6_CAN,2024-05-31 04:01:00.000000,2024-06-01 03:59:00.000000,2024-06-04 04:01:00.000000,2024-06-05 03:59:00.000000,"",RC3.CAG_CANADA,"","",8744.770000000000000,LB,8744.770000000000000,388.611000000000000,CUFT,388.611000000000000,"",480,"","","","","","","","","","",RC3.0020045844,"",G,RC3.20240528-0093,"","","","","","","","",RC3.504004,"",8124.780000000001000,LB,8124.780000000001000,362.040000000000000,CUFT,362.040000000000000,"",9.000000000000000,"","",N,N,"","",BOOKED,"","","","","",PPD,FOB,DESTINATION,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 16:34:01.000000,RC3.ADMIN,2024-05-28 17:07:15.000000,"","","",N,"","","","","","","","","","",RC3.703032978N,CAN,"","",ORDER_CREATE_SUCCESS,ERBL,"","","","","",8.857000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:25.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0004551156,0004551156,"",RC3.INBOUND_STO,N,"",RC3.4226,RC3.42370003,2024-06-21 05:01:00.000000,2024-06-22 04:59:00.000000,2024-06-21 05:01:00.000000,2024-06-22 04:59:00.000000,"",RC3.USA-REGION_WORLD_VENDOR_CPU-CE,"","",42074.100000000000000,LB,42074.100000000000000,89.640000000000000,CUFT,89.640000000000000,"",1,"","","","","","","","","","",RC3.4237,"",G,"","","","","","","","","",RC3.538098,"",39999.990000000005000,LB,39999.990000000005000,0.750000000000000,CUFT,0.750000000000000,"",30.000000000000000,"","",N,N,"","",TENDERED,"","","","","",COL,"","","","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.CPU,RC3.NON_CPU,"","","","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 13:52:23.000000,RC3.ADMIN,2024-05-28 13:52:31.000000,"","","",N,"","","","","","","","","","",RC3.703031771N,CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:26.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0012042442,0012042442,"",RC3.CPU,N,"",RC3.3898,RC3.0020026724_7770KENSINGTONC_48116_USA,2024-06-11 05:01:00.000000,2024-06-12 04:59:00.000000,"","","","","","",3070.430000000000000,LB,3070.430000000000000,102.530999999999990,CUFT,102.530999999999990,"",156,"","","","","","","","","","",RC3.0020026724,"","","","","","","","","","","",RC3.504004,"",2949.120000000000000,LB,2949.120000000000000,97.332000000000000,CUFT,97.332000000000000,"",2.000000000000000,"","",N,N,"","","","","","","","",COL,FOB,ORIGIN,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.CPU,RC3.NON_CPU,"","","","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","",Y,"","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 11:34:01.000000,RC3.ADMIN,2024-05-28 11:34:03.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",1.733000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:28.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0012043248,0012043248,"",RC3.CPU,N,"",RC3.5687,RC3.0020000001_THEKROGERCO._24153_USA,2024-06-04 04:01:00.000000,2024-06-05 03:59:00.000000,"","","","","","",37303.962999999996000,LB,37303.962999999996000,2404.506000000000000,CUFT,2404.506000000000000,"",4190,"","","","","","","","","","",RC3.0020017250,"","","","","","","","","","","",RC3.504004,"",34316.643000000004000,LB,34316.643000000004000,2276.478000000000000,CUFT,2276.478000000000000,"",44.000000000000000,"","",N,N,"","","","","","","","",COL,FOB,ORIGIN,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"",RC3.CPU,RC3.NON_CPU,"","","","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",DO NOT BUNDLE,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","",Y,"","","","","","","","","","","","","",RC3.000000006251042590,N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 15:58:07.000000,RC3.ADMIN,2024-05-28 15:58:11.000000,"","","",N,"","","","","","","","","","","",CAG,"","",ORDER_CREATE_SUCCESS,"","","","","","",42.676000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:28.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
RC3.0000033639,0000033639,"",RC3.OUTBOUND_SO,N,"",RC3.6311,RC3.0010063707,2024-06-21 18:01:00.000000,2024-06-22 17:59:00.000000,2024-06-23 06:01:00.000000,2024-06-24 05:59:00.000000,"","","","",861.889739742303400,KG,1900.141598944000200,5.862000000000000,CUMTR,207.014576195400000,"",572,"","","","","","","","","","","","",Y,"","","","","","","","","",RC3.504004,"",820.565953087753100,KG,1809.038244967800200,5.496000000000000,CUMTR,194.089408183200000,"",5.000000000000000,"","",N,N,"","","","","","","","",PPD,FOB,DESTINATION,"","",N,"",CAG_LINE_AS_IS,"","","","","","","","","","","",0E-15,USD,0E-15,"","","","","","",0E-15,LB,0E-15,0E-15,CUFT,0E-15,"","",RC3.NON_CPU,"",RC3.NON-RAIL,"","","","","","",N,N,N,"","","","","","","","","",MAY BE REQUIRED,"","","","","",N,MAY BE REQUIRED,"","","",N,"","","","","",N,"","",AUTOMATIC,N,NA,"","",0E-15,USD,0E-15,"","",BUFFER,"","","","","","","","","","","","","","","","","",N,N,"","","",6.0,1,"",N,"","","",RC3,RC3.SA_SI,2024-05-28 14:02:03.000000,RC3.ADMIN,2024-05-28 14:02:05.000000,"","","",N,"","","","","","","","","","","",MEX,"","",ORDER_CREATE_SUCCESS,"","","","","","",4.315000000000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-28 13:18:25.000000,"","","","","","","","","","","","","","","","","","","","","","","",N,"",""
