shipment_gid,shipment_xid,shipment_name,transport_mode_gid,is_template,is_primary,is_spot_costed,is_credit_note,cm_prev_dest_location_gid,cm_next_source_location_gid,t_actual_cost_currency_gid,t_weighted_cost_currency_gid,total_trans_cost_currency_gid,loaded_distance_uom_code,unloaded_distance_uom_code,source_location_gid,dest_location_gid,start_time,end_time,freight_terms,parent_leg_gid,voyage_gid,servprov_gid,rate_offering_gid,rate_geo_gid,original_shipment_gid,shipment_group_gid,is_auto_merge_consolidate,perspective,flight_instance_id,total_weight_uom_code,total_volume_uom_code,total_ship_unit_count,total_packaging_unit_count,total_item_package_count,intermediary_corporation_gid,shipment_type_gid,route_code_combination_gid,rail_inter_modal_plan_gid,customer_rate_code,cofc_tofc,rail_return_location_gid,rail_return_route_gid,rule_11_indicator,current_stop_num,shipment_as_work,secondary_charge_rule_gid,check_time_constraint,check_cost_constraint,check_capacity_constraint,cm_name,cm_sequence_num,cm_cost,cm_cost_currency_gid,cm_cost_base,cm_empty_distance,cm_empty_distance_uom_code,cm_empty_distance_base,hazmat_mode_gid,hazmat_region_gid,weigh_code,rule_7,shipment_released,processing_code_gid,air_rail_route_code,payment_method_code_gid,inco_term_gid,dim_weight,dim_weight_uom_code,dim_weight_base,planned_cost_currency_gid,term_location_text,tariff_organization_number,tariff_organization_name,tariff_name,tariff_number,tariff_date,is_hazardous,is_temperature_control,is_cost_fixed,is_service_time_fixed,is_rate_geo_fixed,is_rate_offering_fixed,is_servprov_fixed,is_preload,is_fixed_tender_contact,is_to_be_held,is_preferred_carrier,is_equipment_fixed,is_recalc_totals,has_appointments,indicator,contact_gid,bulk_plan_gid,total_num_reference_units,itinerary_gid,feasibility_code_gid,num_order_releases,num_stops,total_net_weight_uom_code,total_net_volume_uom_code,earliest_start_time,latest_start_time,last_event_group_gid,repetition_schedule_gid,in_trailer_build,first_equipment_group_gid,bulk_cm_gid,vessel_gid,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,source_location_override_gid,dest_location_override_gid,equipment_reference_unit_gid,schedule_type,job_gid,port_of_load_location_gid,port_of_load_override_loc_gid,port_of_dis_location_gid,port_of_dis_override_loc_gid,insurance_policy_number,insurance_amount,insurance_amount_currency_gid,insurance_amount_base,insurance_premium,insurance_premium_currency_gid,insurance_premium_base,bol_type,bol_issuance_type,consol_gid,place_receipt_location_gid,place_deliver_location_gid,sail_date,rail_date,sail_cutoff_date,port_discharge_eta,port_of_exit_date,port_exit_loc_gid,container_delivery_loc_gid,container_pickup_loc_gid,nfrc_rule_gid,is_cpcty_override_applicable,planned_rate_offering_gid,planned_transport_mode_gid,planned_servprov_gid,planned_rate_geo_gid,is_permanent,is_memo_bl,duty_paid,exchange_rate_date,currency_gid,exchange_rate_gid,tot_matched_inv_cost_curr_gid,original_invoice_cost_curr_gid,total_approved_cost_curr_gid,source_pier_location_gid,dest_pier_location_gid,primary_order_base_gid,total_declared_value_gid,is_profit_split,shipping_agent_contact_gid,is_advanced_charge,load_config_engine_type_gid,appointment_priority_gid,is_fixed_distance,delivering_servprov_gid,originating_servprov_gid,chargeable_weight_uom_code,cm_cost_fn,cm_cost_fn_currency_gid,total_actual_c_fn,total_actual_c_fn_currency_gid,total_trans_c_fn,total_trans_c_fn_currency_gid,total_wt_cost_fn,total_wt_cost_fn_currency_gid,planned_cost_fn,planned_cost_fn_currency_gid,insurance_amt_fn,insurance_amt_fn_currency_gid,insurance_prem_fn,insurance_prem_fn_currency_gid,tot_match_inv_fn,tot_match_inv_fn_currency_gid,original_inv_c_fn,original_inv_c_fn_currency_gid,total_app_cost_fn,total_app_cost_fn_currency_gid,fixed_service_days,sighting_location_gid,sighting_date,prev_sighting_location_gid,prev_sighting_date,driver_gid,secondary_driver_gid,power_unit_gid,marked_for_purge,driver_assign_bulk_plan_gid,equipment_assign_bulk_plan_gid,prev_drop_inventory_processed,pick_inventory_processed,drop_inventory_processed,dim_volume,dim_volume_uom_code,dim_volume_base,chargeable_volume_uom_code,domain_name,insert_user,insert_date,update_user,update_date,planning_parameter_set_gid,num_equipment_ordered,em_phone_number,parcel_zone,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,combination_equip_grp_gid,si_cutoff_date,cfs_cutoff_date,src_arb_level_of_service_gid,dest_arb_level_of_service_gid,cfs_location_gid,is_fixed_voyage,job_name,load_date,ahead_late_time,ahead_late_time_base,ahead_late_time_uom_code,ahead_or_late,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,equipment_destination,eta_date,external_voyage_code,first_equipment_initial,first_equipment_number,is_ar_route_code_fixed,prev_equipment_destination,prev_reported_bs_status_code,prev_reporting_scac,projected_tour_name,reported_bs_status_code,reporting_scac,reservation_num,sole_packaged_item_gid,waybill_date,work_assignment_bulk_plan_gid,total_actual_cost,total_actual_cost_base,total_weighted_cost,total_weighted_cost_base,total_trans_cost,total_trans_cost_base,loaded_distance,loaded_distance_base,unloaded_distance,unloaded_distance_base,total_weight,total_weight_base,total_volume,total_volume_base,planned_cost,planned_cost_base,total_net_weight,total_net_weight_base,total_net_volume,total_net_volume_base,weight_utilization,volume_utilization,equip_ref_unit_utilization,tot_matched_invoice_cost,tot_matched_invoice_cost_base,original_invoice_cost,original_invoice_cost_base,total_approved_cost,total_approved_cost_base,total_declared_value,total_declared_value_base,chargeable_weight,chargeable_weight_base,chargeable_volume,chargeable_volume_base,projected_tour_sequence_num,max_num_retender
RC3.703031666N,RC3.702496730N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.5008,RC3.4237,2024-06-06 22:19:33,2024-06-07 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.ENGC,RC3.ENGC_TL_RATEOFFERING,RC3.ENGC_MO635-WI531_53_REF,,,N,B,,LB,CUFT,39,0,27000,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,COL,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.ENGC,RC3.20240528-0029,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-06 5:01:00,2024-06-07 4:59:00,PICKUP APPOINTMENT TIME,,N,RC3.53_REF,,,ACCEPTED,,,UTILIZATION_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.MTEN_TL_RATEOFFERING,TL,RC3.MTEN,RC3.MTEN_MO635-WI531_53_REF,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZJC0651,2024-05-28 13:22:34,DBA.ADMIN,2024-05-28 17:06:29,RC3.CAG_IB,,,,,,RC3.INBOUND_STO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000001023358,,,916.32,916.32,916.32,916.32,,,368,368,0.00E+00,0.00E+00,28735.707,28735.707,116.571,116.571,960.48,960.48,27000.012,27000.012,0.858,0.858,0.63857,0.03331,0.00E+00,,,,,,,0.00E+00,0.00E+00,28735.707,28735.707,116.571,116.571,,
RC3.703033103N,RC3.702496751N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.2100,RC3.3880,2024-06-04 3:59:00,2024-06-05 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.FWSH,RC3.FWSH_TL_RATEOFFERING,RC3.FWSH_2100-3880_53_DRY,,,N,B,,LB,CUFT,17,0,1632,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,RC3.FWSH,RC3.20240528-0097,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-03 4:01:00,2024-06-04 3:59:00,,,N,RC3.53_DRY,,,TENDERED,,,UTILIZATION_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.FWSH_TL_RATEOFFERING,TL,RC3.FWSH,RC3.FWSH_2100-3880_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZCA0077,2024-05-28 17:19:12,RC3.ADMIN,2024-05-28 17:19:15,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,TENDER,1,,,,,20240605 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000006414404315,,,632.8,632.8,632.8,632.8,,,560,560,0.00E+00,0.00E+00,43081.808,43081.808,1013.88,1013.88,632.8,632.8,41891.808,41891.808,962.88,962.88,0.93656,0.26681,0.00E+00,,,,,,,0.00E+00,0.00E+00,43081.808,43081.808,1013.88,1013.88,,
RC3.703032035N,RC3.702496748N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0001053738,RC3.4564,2024-06-03 6:01:00,2024-06-03 7:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,6,0,7920,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 22:07:12,2024-06-04 5:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 15:07:16,RC3.ADMIN,2024-05-28 15:07:24,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240603 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,0.01,0.01,10000.01,10000.01,,,45,45,0.00E+00,0.00E+00,8190,8190,18.15,18.15,0.01,0.01,7920,7920,0.15,0.15,0.00008,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,8190,8190,18.15,18.15,,
RC3.703033020N,RC3.702496751N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.3880,RC3.3875,2024-06-05 21:13:00,2024-06-07 4:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.TTPS,RC3.TTPS_TL_RATEOFFERING,RC3.TTPS_3880-3875_53_DRY,,,N,B,,LB,CUFT,15,0,1393,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.TTPS,RC3.20240528-0096,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-05 5:01:00,2024-06-06 4:59:00,,,N,RC3.53_DRY,,,ACCEPTED,,,UTILIZATION_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.TTPS_TL_RATEOFFERING,TL,RC3.TTPS,RC3.TTPS_3880-3875_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZBC3078,2024-05-28 17:16:42,RC3.ADMIN,2024-05-28 17:17:23,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240607 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,1700,1700,1700,1700,,,924,924,0.00E+00,0.00E+00,19596.39,19596.39,725.557,725.557,1700,1700,18604.7,18604.7,683.056,683.056,0.42601,0.19094,0.00E+00,,,,,,,0.00E+00,0.00E+00,19596.39,19596.39,725.557,725.557,,
RC3.703032008N,RC3.702496728N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.4281,RC3.3752,2024-06-05 3:49:00,2024-06-07 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.SPOT,RC3.SPOT_TL_RATEOFFERING,RC3.SPOT_4281-3752_53_DRY,,,N,B,,LB,CUFT,17,0,2432,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,R,RC3.SPOT,RC3.20240528-0052,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-04 4:01:00,2024-06-05 3:59:00,,,N,RC3.53_DRY,,,BOOKED,,,UTILIZATION_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.SPOT_TL_RATEOFFERING,TL,RC3.SPOT,RC3.SPOT_4281-3752_53_DRY,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZMF4009,2024-05-28 15:03:50,RC3.ZMF4009,2024-05-28 15:52:56,RC3.CAG_OB,,,,,,RC3.OUTBOUND_STO,,1,Spot Rate,,,,20240607 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,1715,1715,1715,1715,,,1166,1166,0.00E+00,0.00E+00,41222,41222,851.512,851.512,1715,1715,40032,40032,800.512,800.512,0.89613,0.22408,0.00E+00,,,,,,,0.00E+00,0.00E+00,41222,41222,851.512,851.512,,
RC3.703032321N,RC3.702496714N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0003028467,RC3.0003028467,2024-07-24 11:00:00,2024-07-24 12:00:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,1,0,80000,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 20:01:23,2024-07-25 0:00:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 16:01:26,RC3.ADMIN,2024-05-28 16:01:38,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240724 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000010126310,,,0.01,0.01,10000.01,10000.01,,,474,474,0.00E+00,0.00E+00,36,36,2.4,2.4,0.01,0.01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,36,36,2.4,2.4,,
RC3.703032153N,RC3.702496710N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.5014,RC3.5014,2024-06-05 3:51:11,2024-06-06 4:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.JJTJ,RC3.JJTJ_TL_RATEOFFERING,RC3.JJTJ_5014-5687_53_REF,,,N,B,,LB,CUFT,60,0,5400,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.JJTJ,RC3.20240528-0058,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-04 5:01:00,2024-06-05 4:59:00,ACCEPTED,,N,RC3.53_REF,,,ACCEPTED,,,UTILIZATION_90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.JJTJ_TL_RATEOFFERING,TL,RC3.JJTJ,RC3.JJTJ_5014-5687_53_REF,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZTS3039,2024-05-28 15:26:51,RC3.ADMIN,2024-05-28 16:01:59,RC3.CAG-IB-SW,,,,,,RC3.OUTBOUND_STO,,1,,,,,20240606 23:59,CAG,,,,,,,,,,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000002113135049100,,,1750,1750,1750,1750,,,559,559,0.00E+00,0.00E+00,41287.2,41287.2,2847.6,2847.6,1750,1750,37087.2,37087.2,2667.6,2667.6,0.91749,0.8136,0.00E+00,,,,,,,0.00E+00,0.00E+00,41287.2,41287.2,2847.6,2847.6,,
RC3.703032718N,RC3.702496705N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.0001037990,RC3.0001037990,2024-06-13 3:01:00,2024-06-13 4:01:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,19,0,1484000,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,,,,,USD,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-28 20:55:03,2024-06-14 2:59:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 16:55:06,RC3.ADMIN,2024-05-28 16:55:11,RC3.CAG_CPU,,,,,,RC3.INBOUND_PO,,1,,,,,20240613 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000010116813,,,0.01,0.01,10000.01,10000.01,,,262,262,0.00E+00,0.00E+00,66163.282,66163.282,2876.391,2876.391,0.01,0.01,65296.008,65296.008,2818.574,2818.574,0.00066,0.00003,0.00E+00,,,,,,,0.00E+00,0.00E+00,66163.282,66163.282,2876.391,2876.391,,
RC3.703032252N,RC3.702496707N,,TL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.5016,RC3.5016,2024-05-29 12:00:00,2024-05-29 13:00:00,,RC3.3077778,,RC3.CPU,RC3.CPU_CE_RATEOFFERING,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,,,N,B,,LB,CUFT,17,0,1,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,COL,,,,,USD,,,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,G,RC3.CPU,,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,FEASIBLE,1,2,LB,CUFT,2024-05-29 5:01:00,2024-05-30 1:00:00,,,N,RC3.VENDOR_EQUIP,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.CPU_CE_RATEOFFERING,TL,RC3.CPU,RC3.CPU_CE_USA-REGION_WORLD_VENDOR,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ADMIN,2024-05-28 15:46:05,RC3.ADMIN,2024-05-28 15:46:09,RC3.CAG_CPU,,,,,,RC3.INBOUND_STO,,1,,,,,20240529 23:59,CAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,RC3.000000000001021397,,,0.01,0.01,10000.01,10000.01,,,1,1,0.00E+00,0.00E+00,30670.04,30670.04,50.388,50.388,0.01,0.01,29922.006,29922.006,0.527,0.527,0.00031,0.00E+00,0.00E+00,,,,,,,0.00E+00,0.00E+00,30670.04,30670.04,50.388,50.388,,
RC3.703032679N,RC3.702496686N,,LTL,N,Y,N,N,,,USD,USD,,MI,MI,RC3.3898,RC3.3898,2024-06-03 4:59:00,2024-06-11 5:01:00,,RC3.USA_USA_TL_IM_LTL_POOL_CAG,,RC3.FFEL,RC3.FFEL_LTL_RATEOFFERING,RC3.FFEL_3898-MN56303_LTL,,,N,B,,LB,CUFT,15,0,975,,TRANSPORT,,,,,,,,,N,,Y,Y,Y,,,,,,,,,,,A,N,Y,,,PPD,FOB,,,,USD,DESTINATION,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,G,RC3.FFEL,RC3.20240528-0086,,RC3.USA_USA_TL_IM_LTL_POOL,FEASIBLE,1,2,LB,CUFT,2024-06-02 5:01:00,2024-06-03 4:59:00,,,N,RC3.NO_EQUIPMENTS,,,ACCEPTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RC3.FFEL_LTL_RATEOFFERING,LTL,RC3.FFEL,RC3.FFEL_3898-MN56303_LTL,N,Y,NA,,USD,RC3.CAG_EXC_RATE,,,,,,,USD,N,,N,,,N,,,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,N,N,N,,,,CUFT,RC3,RC3.ZAR4011,2024-05-28 16:51:37,RC3.ADMIN,2024-05-28 17:59:13,RC3.CAG-IB-SW,,,,,,RC3.OUTBOUND_SO,,1,,,,,20240611 23:59,CAG,,,,,,,,,,6.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,CAG_M_OTM_RPT_SHIPMENT_DELTA,2024-05-28 13:18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,2266.76,2266.76,2266.76,2266.76,,,650,650,0.00E+00,0.00E+00,10107.485,10107.485,418.869,418.869,2266.76,2266.76,9634.355,9634.355,398.592,398.592,0.67383,0.20943,0.00E+00,,,,,,,0.00E+00,0.00E+00,10107.485,10107.485,418.869,418.869,,
