client,plant,name,valuation_area,competitor,vendor_account_number,factory_calendar_key,name_2,house_number_and_street,po_box,postal_code,city,purchasing_organization,sales_organization,batch_status_management_indicator,plant_level_conditions_indicator,source_list_requirement,activating_requirements_planning,country_key,region,county_code,city_code,address,maintenance_planning_plant,tax_jurisdiction,distribution_channel,division,language_text,sop_plant,variance_key,batch_status_management_indicator_old,plant_category,sales_district,region_supplied,plant_tax_indicator,take_regular_vendor_into_account,number_days_first_reminder,number_days_second_reminder,number_days_third_reminder,vendor_declarations_1st_dunning_name,vendor_declarations_2nd_dunning_name,vendor_declarations_3rd_dunning_name,num_days_po_tolerance,business_place,sales_area_determination_rules,plant_level_distribution_profile,master_record_central_archiving_marker,batch_record_dms_types,node_type,name_formation_structure,cost_object_controlling_linking_active,mixed_costing_updation_indicator,actual_costing_updation_indicator,shipping_receiving_point,activity_consumption_updation_indicator,control_of_credit_of_cost_centers,added_function_source_determination_invokation,exchange_valuation_indicator,vendor_type,ipi_credit_allowed,store_category,superior_department_store,is_quarantined,__start_at,__end_at
100,0001,KITCHENER PLANT,0001,0000004610, ,US,"CONAGRA BRANDS, INC.",1760 STRASBURG RD, ,N2R 1E9,KITCHENER, ,1000,X, , , ,CA,ON, , , , ,7001507300,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , , , , , , , , , , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0500,BRITT PLANT,0500,0000000500,A0500,ZY,"CONAGRA BRANDS, INC.",1260 HIGHWAY 18, ,50423,BRITT,1000,1000,X, , , ,US,IA, , ,0000052355, ,1608126250,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , , ,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0509,CS QUINCY,0509,0000000509,A0509,YZ,"CONAGRA BRANDS, INC.",4551 SQUIRES ROAD, ,49082,QUINCY,1000,1000,X, , , ,US,MI, , ,0000052363, ,2302328890,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , , ,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0510,ST.CHARLES PLANT,0510,0000000510,A0510,YK,"CONAGRA BRANDS, INC.",410 Kirk Rd, ,60174,SAINT CHARLES,1000,1000,X, , , ,US,IL, , ,0000056646, ,1408927700,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , ,PL,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0513,TURNERS FALLS PLANT,0513,0000000513,A0513,Z3,"CONAGRA BRANDS, INC.",153 INDUSTRIAL BOULEVARD, ,01376-1611,TURNERS FALLS,1000,1000,X, , , ,US,MA, , ,0000052366,0513,2201100000,10,00,E, ,000001,X, , , , , ,0,0,0, , , ,0, , , , , ,PL,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0523,LOS ANGELES PLANT,0523,0000000523,A0523,YK,"CONAGRA BRANDS, INC.",4020 COMPTON AVENUE, ,90011,LOS ANGELES,1000,1000,X, , , ,US,CA, , ,0000052369, ,0503719000,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , , ,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0527,Rupari Food Service,0527,0000000527,A0527,YK,"CONAGRA BRANDS, INC.",15600 SOUTH WENTWORTH AVENUE, ,60473-1276,SOUTH HOLLAND,1000,1000,X, , , ,US,IL, , ,0000052373, ,1403127300,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , , ,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0540,MOTLEY PLANT,0540,0000000540,A0540,YK,"CONAGRA BRANDS, INC.",1348 HIGHWAY 10 SOUTH,188,56466,MOTLEY,1000,1000,X, , , ,US,MN, , ,0000052378, ,2409723160,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , ,PL,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0549,QUINCY PLANT,0549,0000000549,A0549,YY, ,4551 SQUIRES ROAD, ,49082-0000,QUINCY,1000,1000,X, , ,X,US,MI, , ,0000052384,0549,2302328890,10,00,E, ,000001,X, , , , , ,0,0,0, , , ,0, , , , , ,PL,0001, ,X,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
100,0600,VENTURA FOODS,0600,0000000600,A0600,US, ,"919 E 14th St, Bldg 33480", ,56007-3200,Albert Lea,1000,1000,X, , , ,US,MN, , ,0000052412,0600,2404700100,10,00,E, , ,X, , , , , ,0,0,0, , , ,0, , , , , , ,0001, , ,X, ,1, , , , , , , ,false,2023-10-05 07:59:06.000000,""
