location_gid,location_xid,location_name,city,province,province_code,postal_code,country_code3_gid,zone1,zone2,zone3,zone4,time_zone_gid,lat,lon,sourcing_group_name,delivery_group_name,region_gid,servprov_profile_gid,location_group_gid,is_temporary,is_make_appt_before_plan,is_shipper_known,is_address_valid,rate_classification_gid,equipment_group_profile_gid,slot_time_interval_uom_code,is_ltl_splitable,num_of_rows_in_yard,num_of_slots_per_row_in_yard,use_appointment_priority,schedule_low_priority_appoint,enforce_time_window_appoint,schedule_infeasible_appoint,county_qualifier,bb_is_new_store,bb_order_split_method,exclude_from_route_execution,appoint_display_uom_code,appoint_display_start_time,pickup_routing_sequence_gid,dropoff_routing_sequence_gid,postal_splc_gid,rail_splc_gid,rail_station_code_gid,erpc_gid,rail_junction_code_gid,serving_servprov_profile_gid,yard_row_labels,yard_slot_labels,is_template,description,standing_appt_cutoff_window,allow_driver_rest,appt_object_type,appointment_activity_type,is_fixed_address,primary_address_line_seq,domain_name,insert_user,insert_date,update_user,update_date,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,is_active,address_update_date,job_name,load_date,address_validation_ede,appt_after_cutoff_uom_code,appt_before_cutoff_uom_code,appt_enforce_act_time_sg,dest_arb_level_of_service_gid,eru_grouping,has_multiple_matches,is_wms_facility,shuttle_lot_eq_grp_profile_gid,src_arb_level_of_service_gid,use_single_servprov_rule,overall_quality,slot_time_interval,slot_time_interval_base,bb_max_cases_per_batch,appoint_display,appoint_display_base,appt_search_days,appt_show_number_of_options,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,appt_after_cutoff,appt_after_cutoff_base,appt_before_cutoff,appt_before_cutoff_base,appt_cutoff_hours
DUMMY LOCATION,DUMMY LOCATION,"","","","","","","","","","",UTC,"","","","","","","",N,N,N,Y,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,PUBLIC,DBA.ADMIN,2019-12-09 12:57:15.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"RC3., UNI C-",", UNI C-",MARCATUQE S D INC.,M6K 1X1   ON EST,ONTARIO,"","",CAN,"","","","",America/New_York,"","","","","","","",N,N,N,U,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.INTEGRATION,2020-09-12 17:30:54.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3.- CUERAM,- CUERAM,GROUPO.ALTEX-SAN FRANSCISCO,36440     GTOETC/GMT-6,GUANAJUATO,"","",MEX,"","","","",Etc/GMT-6,"","","","","","","",N,N,N,U,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.INTEGRATION,2020-09-12 17:26:23.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3.-0001,-0001,GRAHAM PKG,FLORENCE,"",KY,41042,"","","","","","","","","","","","","",N,N,N,U,"","","",N,"","","","","","","",N,"",N,"","","","","","","","","","","","",Y,ST ELMO DUNNAGE TOTES,"","","","",N,1,RC3,RC3.ZAC0059,2020-06-18 21:26:43.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3.-0002,-0002,ST ELMO,ST ELMO,"",IL,62458,"","","","","","","","","","","","","",N,N,N,U,"","","",N,"","","","","","","",N,"",N,"","","","","","","","","","","","",Y,"","","","","",N,1,RC3,RC3.ZAC0059,2020-06-18 21:28:37.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3..,.,EP INVENTORY,62071     IL CST,NEBRASKA,"","",USA,"","","","",America/Chicago,"","","","","","","",N,N,N,U,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.INTEGRATION,2020-09-12 17:25:47.000000,RC3.INTEGRATION,2020-09-14 17:55:38.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,2020-09-14 17:55:38.000000,CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3./2,/2,EP INVENTORY,93637     CA PST,NEBRASKA,"","",USA,"","","","",America/Chicago,"","","","","","","",N,N,N,U,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.INTEGRATION,2020-09-12 17:29:28.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3./2 - 401,/2 - 401,GRANAROLO - BALOGNA,40127     BO CET,BOLOGNA,"","",ITA,"","","","",CET,"","","","","","","",N,N,N,U,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.INTEGRATION,2020-09-12 17:26:29.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3.0 BLDG #,0 BLDG #,GREAT LAKES DISTRIBUTION,46383     IN CST,INDIANA,"","",USA,"","","","",America/Chicago,"","","","","","","",N,N,N,U,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.INTEGRATION,2020-09-12 17:23:57.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
RC3.0000002100_30MARRSTREET_17847_USA,0000002100_30MARRSTREET_17847_USA,MILTON PLANT,MILTON,"",PA,17847,USA,"","","","",America/New_York,41.01076,-76.82928,"","","","","",N,N,N,N,"","","",Y,"","",N,N,Y,Y,"",N,"",N,"","","","","","","","","","","","",N,"","",Y,S,"",N,1,RC3,RC3.MHAMILL,2020-05-19 12:33:39.000000,RC3.ADMIN,2021-03-25 17:30:28.000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Y,"",CAG_M_OTM_SFL_LOCATION_FULL_LOAD,2024-06-05 01:50:38.000000,"","","",N,"","","",N,"","","","","","","","","","","","","","","","","","","","","","","","","",""
