order_movement_gid,order_movement_xid,order_release_gid,is_temporary,creation_process_type,seq_no,perspective,source_location_gid,is_fixed_src,dest_location_gid,is_fixed_dest,early_pickup_date,operation_early_pickup_date,late_pickup_date,early_delivery_date,late_delivery_date,operation_late_delivery_date,reuse_equipment,parent_source_location_gid,parent_dest_location_gid,original_leg_gid,bulk_plan_gid,original_sell_om_gid,total_weight_uom_code,total_volume_uom_code,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,ship_unit_width,ship_unit_width_uom_code,ship_unit_width_base,ship_unit_length,ship_unit_length_uom_code,ship_unit_length_base,ship_unit_height,ship_unit_height_uom_code,ship_unit_height_base,ship_unit_diameter,ship_unit_diameter_uom_code,ship_unit_diameter_base,transport_handling_unit_gid,indicator,pickup_routing_sequence_gid,dropoff_routing_sequence_gid,priority,source_tag,dest_tag,shipment_gid,domain_name,insert_user,insert_date,update_user,update_date,mode_profile_gid,equipment_group_profile_gid,calculate_service_time,calculate_contracted_rate,expected_transit_time_uom_code,expected_cost_currency_gid,rate_offering_gid,rate_geo_gid,equipment_group_gid,transport_mode_gid,servprov_gid,servprov_profile_gid,rate_service_profile_gid,is_template,ship_with_group,leg_classification_gid,leg_consolidation_group_gid,is_network_routable,routing_constraint_gid,is_routing_fixed,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,loading_split_type,original_buy_om_gid,load_date,job_name,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,original_leg_position,total_ship_unit_count,total_weight,total_weight_base,total_volume,total_volume_base,expected_transit_time,expected_transit_time_base,expected_cost,expected_cost_base
RC3.3475128,3475128,RC3.0000015476,N,SYSTEM-ITINERARY,"",B,RC3.6215,Y,RC3.0020045706,Y,2024-06-07 04:01:00.000000,"",2024-06-08 03:59:00.000000,2024-06-11 04:01:00.000000,2024-06-12 03:59:00.000000,"",N,"","",RC3.3075780,RC3.SALES ORDERS NO LTL 7 DAYS-09:00-20240605040018,"",LB,CUFT,"","","","","",0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,RC3.000000006251042590,"","","",1,"","",RC3.702496756N,RC3,RC3.UAFIREOTMRC3ADM,2024-06-05 04:00:27.000000,RC3.UAFIREOTMRC3ADM,2024-06-05 04:00:27.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,"","","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-05 01:55:51.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,1.000000000000000,251.625000000000000,251.625000000000000,5.990000000000000,5.990000000000000,0E-15,0E-15,0E-15,0E-15
RC3.3475109,3475109,RC3.T4503856079,N,SYSTEM-ITINERARY,"",B,RC3.3880,Y,RC3.5710,Y,"","","","","","",N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,"","",LB,CUFT,"","","","","",0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,RC3.000000006251042590,"","","",1,"","",RC3.702496743N,RC3,RC3.ZAT4002,2024-06-04 18:15:56.000000,"","",RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,"","","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-05 01:55:51.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,6.000000000000000,13835.040000000000000,13835.040000000000000,302.580000000000000,302.580000000000000,0E-15,0E-15,0E-15,0E-15
RC3.3475110,3475110,RC3.0011724721,N,SYSTEM-ITINERARY,"",B,RC3.4238,Y,RC3.0020002488,Y,2024-06-10 05:01:00.000000,"",2024-06-11 04:59:00.000000,2024-06-11 05:01:00.000000,2024-06-12 04:59:00.000000,"",N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,"","",LB,CUFT,"","","","","",0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,RC3.000000006251042590,"","","",1,"","",RC3.702496744N,RC3,RC3.BOTS410,2024-06-04 21:40:50.000000,"","",RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,"","","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-06-05 01:55:51.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,1.000000000000000,102.810000000000000,102.810000000000000,6.529000000000000,6.529000000000000,0E-15,0E-15,0E-15,0E-15
RC3.2837355,2837355,RC3.0011469115,N,SYSTEM-ITINERARY,"",B,RC3.3875,Y,RC3.0020016368,Y,2022-12-27 05:01:00.000000,"",2022-12-28 04:59:00.000000,2022-12-28 05:01:00.000000,2022-12-29 04:59:00.000000,"",N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.20221220-0128,"",LB,CUFT,"","","","","",0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,RC3.000000006251042590,"","","",1,"","",RC3.702016760N,RC3,RC3.ZCL3062,2022-12-20 22:28:49.000000,RC3.ZCL3062,2022-12-20 22:28:49.000000,"","",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,114701721220,"","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,4.000000000000000,3365.350000000000000,3365.350000000000000,157.954000000000000,157.954000000000000,0E-15,0E-15,0E-15,0E-15
RC3.2837462,2837462,RC3.0011419571,N,SYSTEM-ITINERARY,"",B,RC3.2106,Y,RC3.0020039162,Y,2022-12-28 06:01:00.000000,"",2022-12-29 05:59:00.000000,2022-12-29 05:01:00.000000,2022-12-30 04:59:00.000000,"",N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.20221221-0005,"",LB,CUFT,"","","","","","","","","","","","","","","","","",RC3.000000006251042590,"","","",1,"","",RC3.702016883N,RC3,RC3.ZCL3062,2022-12-21 01:37:31.000000,RC3.ADMIN,2022-12-27 16:17:02.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,"","","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,18.000000000000000,41807.592000000004000,41807.592000000004000,832.764000000000100,832.764000000000100,0E-15,0E-15,0E-15,0E-15
RC3.2837509,2837509,RC3.0011470670,N,SYSTEM-ITINERARY,"",B,RC3.5615,Y,RC3.0020001992,Y,2022-12-28 05:01:00.000000,"",2022-12-29 04:59:00.000000,2022-12-29 06:01:00.000000,2022-12-30 05:59:00.000000,2022-12-30 05:59:00.000000,N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.20221221-0012,"",LB,CUFT,"","","","","","","","","","","","","","","","","",RC3.000000006251042590,"","","",1,"","",RC3.702016945N,RC3,RC3.ZMP0185,2022-12-21 03:58:39.000000,RC3.ADMIN,2023-01-04 15:12:58.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,0722917822,"","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,1.000000000000000,384.205000000000000,384.205000000000000,12.072000000000000,12.072000000000000,0E-15,0E-15,0E-15,0E-15
RC3.2837512,2837512,RC3.0011470352,N,SYSTEM-ITINERARY,"",B,RC3.3109,Y,RC3.0020003444,Y,2022-12-27 05:01:00.000000,"",2022-12-28 04:59:00.000000,2022-12-30 06:01:00.000000,2022-12-31 05:59:00.000000,2022-12-31 05:59:00.000000,N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.20221221-0012,"",LB,CUFT,"","","","","","","","","","","","","","","","","",RC3.000000006251042590,"","","",1,"","",RC3.702016947N,RC3,RC3.ZMP0185,2022-12-21 03:58:40.000000,RC3.ADMIN,2023-01-05 22:11:37.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,0722922221,"","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,25.000000000000000,35467.037000000004000,35467.037000000004000,2364.614000000000000,2364.614000000000000,0E-15,0E-15,0E-15,0E-15
RC3.2837556,2837556,RC3.0011469080,N,SYSTEM-ITINERARY,"",B,RC3.5006,Y,RC3.0020028616,Y,2022-12-28 06:01:00.000000,"",2022-12-29 05:59:00.000000,2022-12-30 05:01:00.000000,2022-12-31 04:59:00.000000,2022-12-31 04:59:00.000000,N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.SALES ORDERS NO LTL 7 DAYS-03:00-20221221090008,"",LB,CUFT,"","","","","","","","","","","","","","","","","",RC3.000000006251042590,"","","",1,"","",RC3.702017003N,RC3,RC3.UAFIREOTMRC3ADM,2022-12-21 09:07:41.000000,RC3.ADMIN,2022-12-29 17:47:13.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,0722908236,"","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,57.000000000000000,44108.771000000010000,44108.771000000010000,2534.846999999999800,2534.846999999999800,0E-15,0E-15,0E-15,0E-15
RC3.2837675,2837675,RC3.0011467849,N,SYSTEM-ITINERARY,"",B,RC3.2100,Y,RC3.0020003370,Y,2022-12-27 05:01:00.000000,"",2022-12-28 04:59:00.000000,2022-12-30 06:01:00.000000,2022-12-31 05:59:00.000000,2022-12-31 05:59:00.000000,N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.SALES ORDERS NO LTL 7 DAYS-03:00-20221221090008,"",LB,CUFT,"","","","","","","","","","","","","","","","","",RC3.000000006251042590,"","","",1,"","",RC3.702017138N,RC3,RC3.UAFIREOTMRC3ADM,2022-12-21 09:08:02.000000,RC3.ADMIN,2022-12-27 19:35:07.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,292824281230,"","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,21.000000000000000,42611.424000000000000,42611.424000000000000,1172.440000000000000,1172.440000000000000,0E-15,0E-15,0E-15,0E-15
RC3.2837683,2837683,RC3.0011470461,N,SYSTEM-ITINERARY,"",B,RC3.2100,Y,RC3.0020002909,Y,2022-12-27 05:01:00.000000,"",2022-12-28 04:59:00.000000,2022-12-30 06:01:00.000000,2022-12-31 05:59:00.000000,"",N,"","",RC3.USA_USA_TL_IM_LTL_POOL_CAG,RC3.SALES ORDERS NO LTL 7 DAYS-03:00-20221221090008,"",LB,CUFT,"","","","","",0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,0E-15,FT,0E-15,RC3.000000006251042590,"","","",1,"","",RC3.702017146N,RC3,RC3.UAFIREOTMRC3ADM,2022-12-21 09:08:04.000000,RC3.UAFIREOTMRC3ADM,2022-12-21 09:08:04.000000,RC3.NON-RAIL,"",Y,Y,S,USD,"","","","","",RC3.NON_CPU,"",N,39193,"","",N,"",N,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2024-05-10 06:30:58.000000,CAG_M_OTM_RPT_ORDER_MOVEMENT_DELTA,"","","","","","","","","","","","","","","","","","","","",0E-15,18.000000000000000,41484.831999999995000,41484.831999999995000,1043.520000000000000,1043.520000000000000,0E-15,0E-15,0E-15,0E-15
