order_release_gid,order_release_xid,order_release_name,order_release_type_gid,is_template,order_base_gid,source_location_gid,dest_location_gid,early_pickup_date,late_pickup_date,early_delivery_date,late_delivery_date,fixed_itinerary_gid,assigned_itinerary_gid,fixed_sell_itinerary_gid,ship_unit_origin,total_weight,total_weight_uom_code,total_weight_base,total_volume,total_volume_uom_code,total_volume_base,total_packaging_unit_count,total_item_package_count,max_length,max_length_uom_code,max_length_base,max_width,max_width_uom_code,max_width_base,max_height,max_height_uom_code,max_height_base,plan_from_location_gid,plan_to_location_gid,assigned_sell_itinerary_gid,indicator,bulk_plan_gid,best_direct_cost_buy,best_dircost_buy_currency_gid,best_direct_cost_buy_base,best_direct_cost_sell,best_dircost_sell_currency_gid,best_direct_cost_sell_base,best_direct_rateoffer_gid_buy,best_direct_rateoffer_gid_sell,buy_general_ledger_gid,sell_general_ledger_gid,total_net_weight,total_net_weight_uom_code,total_net_weight_base,total_net_volume,total_net_volume_uom_code,total_net_volume_base,sell_bulk_plan_gid,total_ship_unit_count,load_point,unload_point,pickup_is_appt,delivery_is_appt,plan_from_load_point,plan_to_unload_point,user_defined1_icon_gid,user_defined2_icon_gid,user_defined3_icon_gid,user_defined4_icon_gid,user_defined5_icon_gid,external_system_id,payment_method_code_gid,inco_term_gid,term_location_text,planning_group_gid,time_window_emphasis_gid,is_known_shipper,dim_rate_factor_gid,release_method_gid,final_inco_term,final_text_location,inspection_number,inspection_schedule_date,inspection_date,survey_lay_can_date,loc_number,loc_issue_date,loc_received_date,loc_latest_shipping_date,loc_negotiated_days,loc_amount,loc_amount_currency_gid,loc_amount_base,loc_advising_number,loc_confirming_number,src_location_override_gid,dest_location_override_gid,plan_from_loc_override_gid,plan_to_loc_override_gid,secondary_t_weight,secondary_t_weight_uom_code,secondary_t_weight_base,secondary_t_volume,secondary_t_volume_uom_code,secondary_t_volume_base,rate_service_profile_gid,servprov_gid,servprov_profile_gid,transport_mode_gid,mode_profile_gid,equipment_group_gid,equipment_group_profile_gid,rate_offering_gid,rate_geo_gid,sell_rate_offering_gid,sell_rate_geo_gid,must_ship_direct,must_ship_thru_x_dock,must_ship_thru_pool,ship_with_group,primary_leg_source_loc_gid,prim_leg_src_loc_override_gid,port_of_load_location_gid,port_of_load_loc_override_gid,port_of_dis_location_gid,port_of_dis_loc_override_gid,primary_leg_dest_loc_gid,prim_leg_dest_override_loc_gid,import_license_required,import_license_issue_date,import_license_receive_date,import_license_expiration_date,import_license_number,loc_expiration_date,is_loc_required,inspection_required,unitization_condition_name,stuff_location_gid,destuff_location_gid,customer_unitization_request,default_stowage_mode,consolidation_type_gid,move_perspective_gid,quote_gid,commercial_payment_code_gid,is_loc_stale,ult_dest_country_code3_gid,template_type,bundling_type,is_consolidate_or_equipment,duty_paid,quote_option_number,partition_gid,total_declared_value,total_declared_value_gid,total_declared_value_base,buy_itinerary_profile_gid,sell_itinerary_profile_gid,buffer_type,sell_servprov_gid,sell_servprov_profile_gid,is_ignore_location_calendar,rate_service_gid,ship_unit_width,ship_unit_width_uom_code,ship_unit_width_base,ship_unit_length,ship_unit_length_uom_code,ship_unit_length_base,ship_unit_height,ship_unit_height_uom_code,ship_unit_height_base,ship_unit_diameter,ship_unit_diameter_uom_code,ship_unit_diameter_base,transport_handling_unit_gid,on_rt_execution,is_splittable,pickup_routing_sequence_gid,dropoff_routing_sequence_gid,latest_est_delivery_date,otm_version,priority,latest_est_pickup_date,marked_for_purge,pickup_rail_carrier,delivery_rail_carrier,equipment_type_gid,domain_name,insert_user,insert_date,update_user,update_date,rail_route_code_gid,em_phone_number,leg_consolidation_group_gid,is_pre_entered_pu,routing_constraint_gid,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute_number1,attribute_number2,attribute_number3,attribute_number4,attribute_number5,attribute_number6,attribute_number7,attribute_number8,attribute_number9,attribute_number10,attribute_date1,attribute_date2,attribute_date3,attribute_date4,attribute_date5,attribute_date6,attribute_date7,attribute_date8,attribute_date9,attribute_date10,attribute_currency1,attribute_currency1_gid,attribute_currency1_base,attribute_currency2,attribute_currency2_gid,attribute_currency2_base,attribute_currency3,attribute_currency3_gid,attribute_currency3_base,allocation_group_gid,earliest_est_pickup_date,job_name,load_date,attribute_date11,attribute_date12,attribute_date13,attribute_date14,attribute_date15,attribute_date16,attribute_date17,attribute_date18,attribute_date19,attribute_date20,attribute_number11,attribute_number12,attribute_number13,attribute_number14,attribute_number15,attribute_number16,attribute_number17,attribute_number18,attribute_number19,attribute_number20,early_sail_date,external_voyage_code,is_direct_voyage,is_topoff,late_sail_date,voyage_gid
RC3.702496730N,0004288086-001,,RC3.INBOUND_PO,N,RC3.0004288086,RC3.0001037990,RC3.42080006,2023-07-20 21:10:57,,2023-07-24 5:01:00,2023-07-25 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,13638.6,LB,13638.6,3099.725,CUFT,3099.725,,158400,,,,,,,,,,,RC3.42080001,,G,,,,,,,,,,RC3.538098,,12513.6,LB,12513.6,3024.725,CUFT,3024.725,,25,,,N,N,,,TENDERED,,,,,,PPD,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288086,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 17:10:55,RC3.ADMIN,2023-07-20 17:11:03,,,,N,,,,,,,,,,,RC3.702430992N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496751N,0004288102-001,,RC3.INBOUND_PO,N,RC3.0004288102,RC3.0003064821,RC3.42530003,2023-07-20 22:25:11,,2023-09-08 5:01:00,2023-09-09 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,378.136,LB,378.136,25.208,CUFT,25.208,,150000,,,,,,,,,,,RC3.4253,,G,,,,,,,,,,RC3.538098,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,8,,,N,N,,,TENDERED,,,,,,PPD,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288102,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 17:25:10,RC3.ADMIN,2023-07-20 17:25:18,,,,N,,,,,,,,,,,RC3.702431049N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496748N,0004288124-001,,RC3.INBOUND_PO,N,RC3.0004288124,RC3.0003055811,RC3.50140003,2023-07-20 22:43:10,,2023-08-14 5:01:00,2023-08-15 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,11926.25,LB,11926.25,365.456,CUFT,365.456,,11600,,,,,,,,,,,RC3.5014,,G,,,,,,,,,,RC3.538098,,11600.001,LB,11600.001,343.707,CUFT,343.707,,7,,,N,N,,,TENDERED,,,,,,PPD,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288124,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 17:43:09,RC3.ADMIN,2023-07-20 17:44:18,,,,N,,,,,,,,,,,RC3.702431098N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496751N,0004288172-001,,RC3.INBOUND_PO,N,RC3.0004288172,RC3.0003029200,RC3.50060003,2023-07-20 23:13:11,,2023-08-17 5:01:00,2023-08-18 4:59:00,,RC3.USA_USA_TL_IM_LTL_POOL,,BS,19125,LB,19125,2062.2,CUFT,2062.2,,15000,,,,,,,,,,,RC3.5006,,G,RC3.INBOUND BULK PLAN-20230731160033,,,,,,,,,RC3.538098,,16875,LB,16875,1912.2,CUFT,1912.2,,50,,,N,N,,,TENDERED,,,,,,COL,FOB,ORIGIN,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.NON_CPU,,RC3.NON-RAIL,,,,,,,N,N,N,4288172,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 18:13:10,RC3.ADMIN,2023-08-01 2:19:55,,,,N,,,,,,,,,,,RC3.702449440N,CAG,,,ORDER_CREATE_SUCCESS,FFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496728N,4288178,,RC3.INBOUND_STO,N,,RC3.5007,RC3.50090003,2023-07-24 5:01:00,2023-07-25 4:59:00,2023-07-24 5:01:00,2023-07-25 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,,42775,LB,42775,87.783,CUFT,87.783,,1,,,,,,,,,,,RC3.5009,,G,,,,,,,,,,RC3.538098,,40600,LB,40600,0.783,CUFT,0.783,,29,,,N,N,,,TENDERED,,,,,,COL,,,,,N,,CAG_LINE_AS_IS,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,RC3.CPU,RC3.NON_CPU,,,,,,,,,N,N,N,,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,DO NOT BUNDLE,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000007563295403,N,N,,,,6,1,,N,,,,RC3,RC3.SA_SI,2023-07-20 18:16:17,RC3.ADMIN,2023-07-20 18:16:23,,,,N,,,,,,,,,,,RC3.702431188N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496714N,4288193,,RC3.INBOUND_STO,N,,RC3.4226,RC3.42370003,2023-07-24 5:01:00,2023-07-25 4:59:00,2023-07-24 5:01:00,2023-07-25 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,,41500,LB,41500,60.62,CUFT,60.62,,1,,,,,,,,,,,RC3.4237,,G,,,,,,,,,,RC3.538098,,40000,LB,40000,0.62,CUFT,0.62,,20,,,N,N,,,TENDERED,,,,,,COL,,,,,N,,CAG_LINE_AS_IS,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,RC3.CPU,RC3.NON_CPU,,,,,,,,,N,N,N,,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,DO NOT BUNDLE,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000007563295403,N,N,,,,6,1,,N,,,,RC3,RC3.SA_SI,2023-07-20 18:34:11,RC3.ADMIN,2023-07-20 18:34:16,,,,N,,,,,,,,,,,RC3.702431247N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496710N,0004288243-001,,RC3.INBOUND_PO,N,RC3.0004288243,RC3.0003055835,RC3.45610003,2023-07-21 0:04:07,,2023-08-20 4:01:00,2023-08-21 3:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,2235,LB,2235,9.03,CUFT,9.03,,6300,,,,,,,,,,,RC3.4561,,G,,,,,,,,,,RC3.538098,,2100,LB,2100,0.03,CUFT,0.03,,3,,,N,N,,,TENDERED,,,,,,PPA,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288243,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 19:04:06,RC3.ADMIN,2023-07-20 19:04:13,,,,N,,,,,,,,,,,RC3.702431330N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496705N,0004288321-001,,RC3.INBOUND_PO,N,RC3.0004288321,RC3.0003055895,RC3.50060003,2023-07-21 0:40:08,,2023-08-09 5:01:00,2023-08-10 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,12149.126,LB,12149.126,18.267,CUFT,18.267,,11878,,,,,,,,,,,RC3.5006,,G,,,,,,,,,,RC3.538098,,11878.001,LB,11878.001,0.192,CUFT,0.192,,6,,,N,N,,,TENDERED,,,,,,PPA,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288321,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 19:40:06,RC3.ADMIN,2023-07-20 19:40:14,,,,N,,,,,,,,,,,RC3.702431493N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496707N,0004288335-001,,RC3.INBOUND_PO,N,RC3.0004288335,RC3.0001038270,RC3.50530006,2023-07-20 17:43:15,,2023-07-27 4:01:00,2023-07-28 3:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,51000,,,,,,,,,,,RC3.5053,,G,,,,,,,,,,RC3.538098,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,51000,,,N,N,,,TENDERED,,,,,,PPD,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288335,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 19:43:13,RC3.ADMIN,2023-07-20 19:43:20,,,,N,,,,,,,,,,,RC3.702431527N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
RC3.702496686N,0004288339-001,,RC3.INBOUND_PO,N,RC3.0004288339,RC3.0003055895,RC3.50060003,2023-07-21 0:43:05,,2023-09-27 5:01:00,2023-09-28 4:59:00,,RC3.USA-REGION_WORLD_VENDOR_CPU-CE,,BS,48.735,LB,48.735,3.282,CUFT,3.282,,1560,,,,,,,,,,,RC3.5006,,G,,,,,,,,,,RC3.538098,,0.00E+00,LB,0.00E+00,0.033,CUFT,0.033,,1,,,N,N,,,TENDERED,,,,,,PPD,FOB,DESTINATION,,BOTH,N,,RC3.ONE_TO_ONE_OB,,,,,,,,,,,,0.00E+00,USD,0.00E+00,,,,,,,0.00E+00,LB,0.00E+00,0.00E+00,CUFT,0.00E+00,,,RC3.CPU,,RC3.NON-RAIL,,RC3.VENDOR_EQUIP,,,,,N,N,N,4288339,,,,,,,,,MAY BE REQUIRED,,,,,,N,MAY BE REQUIRED,,,,N,,,,,,N,,,AUTOMATIC,N,NA,,,0.00E+00,USD,0.00E+00,,,BUFFER,,,,,,,,,,,,,,,,,RC3.000000009876543210,N,N,,,,6,1,,N,,,,RC3,RC3.ADMIN,2023-07-20 19:43:04,RC3.ADMIN,2023-07-20 19:43:11,,,,N,,,,,,,,,,,RC3.702431521N,CAG,,,ORDER_CREATE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAG_M_OTM_RPT_ORDER_RELEASE_DELTA,2024-05-10 6:18:30,,,,,,,,,,,,,,,,,,,,,,,,N,,
