shipment_gid,i_transaction_no,servprov_gid,reporting_gluser,reporting_method,shipment_stop_num,event_location_gid,is_hidden,partition_key,domain_name,insert_user,insert_date,update_user,update_date,load_date,job_name
RC3.703032656N,181495192,RC3.CRCR,DBA.ADMIN,EDI,1,RC3.2100,N,1,RC3,RC3.ADMIN,2024-05-31 07:21:57.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703039708N,181497857,RC3.NAVE,DBA.ADMIN,EDI,"","",N,1,RC3,RC3.ADMIN,2024-05-31 08:56:54.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703020050N,181488089,RC3.CRCR,DBA.ADMIN,EDI,2,RC3.0020041201,N,1,RC3,RC3.ADMIN,2024-05-31 04:21:49.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703028327N,181499355,"",DBA.ADMIN,EDI,1,RC3.2123,N,1,RC3,RC3.ADMIN,2024-05-31 09:31:05.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703024954N,181494289,RC3.WGLO,DBA.ADMIN,EDI,1,RC3.3877,N,1,RC3,RC3.ADMIN,2024-05-31 06:41:50.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703032106N,181494437,RC3.CRCR,DBA.ADMIN,EDI,2,RC3.3880,N,1,RC3,RC3.ADMIN,2024-05-31 06:51:52.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703005930N,181493188,"",DBA.ADMIN,EDI,1,RC3.2164,N,1,RC3,RC3.ADMIN,2024-05-31 05:56:04.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703029798N,181493228,RC3.SCNN,DBA.ADMIN,EDI,1,RC3.3880,N,1,RC3,RC3.ADMIN,2024-05-31 05:56:53.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703029202N,181500019,RC3.CRCR,DBA.ADMIN,EDI,1,RC3.2100,N,1,RC3,RC3.ADMIN,2024-05-31 09:52:01.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
RC3.703020050N,181492230,RC3.CRCR,DBA.ADMIN,EDI,2,RC3.0020041201,N,1,RC3,RC3.ADMIN,2024-05-31 04:56:54.000000,"","",2024-05-31 06:28:20.000000,CAG_M_OTM_SFL_SS_STATUS_HISTORY_DELTA
