client,sales_document,sales_document_item,delivery_schedule_line_num,schedule_line_category,item_relevant_delivery,schedule_line_date,arrival_time,order_quantity_in_sales_units,confirmed_quantity,sales_unit,req_quan_mgmt_stockk_units,base_uom,requirement_date,requirement_type,planning_type,business_document_number,business_item_number,schedule_line,earliest_possible_reservation_date,maintenance_request,purchase_requisition_num,order_type,purchasing_document_category,confirmation_status_of_schedule_line,invoice_receipt_indicator,return_date_for_returnable_packaging,date_type,transportation_planning_date,material_staging,loading_date,goods_issue_date,corrected_quantity_in_sales_unit,schedule_line_blocked_for_delivery,group_definition_of_structure_data,release_type,forecast_delivery_schedule_num,committed_quantity,size_2,size_3,unit_of_measure,formula_key,numerator_for_conversion_sales_sku,denominator_for_conversion_sales_sku,availability_confirmed_automatically,movement_type,item_num_purchase_requisition,schedule_line_type_edi,order_number,planned_order_number,bom_explosion_number,customer_engineering_change_status,guaranteed,material_staging_time,transp_planning_time,loading_time,time_of_goods_issue,route_schedule,handover_date,handover_time,matr_availability_date,is_quarantined
100,202,40,2,CT,X,2008-10-22 5:00:00,2024-05-01 5:00:00,0,2550,CS,70,CS,1900-01-01 6:00:00,,,,0,0,2008-10-21 5:00:00,0,,,,,,1900-01-01 6:00:00,1,2008-10-17 5:00:00,2008-10-21 5:00:00,2008-10-21 5:00:00,2008-10-21 5:00:00,0,,0,,0,0,0,0,,,1,1,X,,0,,,,,,0,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,103,140,1,CP,X,2022-06-23 5:00:00,2024-05-01 21:00:00,10,3650,CS,10,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2022-06-20 5:00:00,2022-06-22 5:00:00,2022-06-22 5:00:00,2022-06-22 5:00:00,10,,0,,0,0,0,0,,,1,1,X,601,0,,,,,,0,2024-05-01 21:00:00,2024-05-01 20:59:58,2024-05-01 21:00:00,2024-05-01 21:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,804,60,2,ZD,X,2008-10-20 5:00:00,2024-05-01 5:00:00,0,4380,CS,10,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2008-10-17 5:00:00,2008-10-20 5:00:00,2008-10-20 5:00:00,2008-10-20 5:00:00,0,,0,,0,0,0,0,,,1,1,X,941,0,,,,,,0,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,607,150,1,CP,X,2022-06-23 5:00:00,2024-05-01 21:00:00,5,1825,CS,5,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2022-06-20 5:00:00,2022-06-22 5:00:00,2022-06-22 5:00:00,2022-06-22 5:00:00,5,,0,,0,0,0,0,,,1,1,X,601,0,,,,,,0,2024-05-01 21:00:00,2024-05-01 20:59:58,2024-05-01 21:00:00,2024-05-01 21:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,509,870,2,ZD,X,2008-10-14 5:00:00,2024-05-01 5:00:00,0,730,CS,2,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2008-10-12 5:00:00,2008-10-14 5:00:00,2008-10-14 5:00:00,2008-10-14 5:00:00,0,,0,,0,0,0,0,,,1,1,X,941,0,,,,,,0,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,513,421,1,CP,X,2022-06-23 5:00:00,2024-05-01 21:00:00,25,9125,CS,25,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2022-06-20 5:00:00,2022-06-22 5:00:00,2022-06-22 5:00:00,2022-06-22 5:00:00,25,,0,,0,0,0,0,,,1,1,X,601,0,,,,,,0,2024-05-01 21:00:00,2024-05-01 20:59:58,2024-05-01 21:00:00,2024-05-01 21:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,140,1480,2,ZD,X,2008-10-05 5:00:00,2024-05-01 5:00:00,0,2920,CS,8,CS,1900-01-01 6:00:00,4,1,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2008-10-02 5:00:00,2008-10-05 5:00:00,2008-10-05 5:00:00,2008-10-05 5:00:00,0,,0,,0,0,0,0,,,1,1,X,941,0,,,,,,0,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,350,30,1,CP,X,2022-06-08 5:00:00,2024-05-01 21:00:00,16,4745,CS,16,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2022-06-05 5:00:00,2022-06-07 5:00:00,2022-06-07 5:00:00,2022-06-07 5:00:00,16,,0,,0,0,0,0,,,1,1,X,601,0,,,,,,0,2024-05-01 21:00:00,2024-05-01 20:59:58,2024-05-01 21:00:00,2024-05-01 21:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,216,10,1,CP,X,2007-10-11 5:00:00,2024-05-01 5:00:00,44000,36500,LB,44000,LB,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2007-10-09 5:00:00,2007-10-11 5:00:00,2007-10-11 5:00:00,2007-10-11 5:00:00,44000,,0,,0,0,0,0,,,1,1,X,601,0,,,,,,0,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,2024-05-01 5:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
100,257,130,1,CP,X,2022-06-08 5:00:00,2024-05-01 21:00:00,40,14600,CS,40,CS,1900-01-01 6:00:00,5,0,,0,0,1900-01-01 6:00:00,0,,,,,,1900-01-01 6:00:00,1,2022-06-05 5:00:00,2022-06-07 5:00:00,2022-06-07 5:00:00,2022-06-07 5:00:00,40,,0,,0,0,0,0,,,1,1,X,601,0,,,,,,0,2024-05-01 21:00:00,2024-05-01 20:59:58,2024-05-01 21:00:00,2024-05-01 21:00:00,,1900-01-01 6:00:00,2024-05-01 5:00:00,1900-01-01 6:00:00,FALSE
