client,sales_document,sales_document_item,delivery_schedule_line_num,schedule_line_category,item_relevant_delivery,schedule_line_date,arrival_time,order_quantity_in_sales_units,confirmed_quantity,sales_unit,req_quan_mgmt_stockk_units,base_uom,requirement_date,requirement_type,planning_type,business_document_number,business_item_number,schedule_line,earliest_possible_reservation_date,maintenance_request,purchase_requisition_num,order_type,purchasing_document_category,confirmation_status_of_schedule_line,invoice_receipt_indicator,return_date_for_returnable_packaging,date_type,transportation_planning_date,material_staging,loading_date,goods_issue_date,corrected_quantity_in_sales_unit,schedule_line_blocked_for_delivery,group_definition_of_structure_data,release_type,forecast_delivery_schedule_num,committed_quantity,size_2,size_3,unit_of_measure,formula_key,numerator_for_conversion_sales_sku,denominator_for_conversion_sales_sku,availability_confirmed_automatically,movement_type,item_num_purchase_requisition,schedule_line_type_edi,order_number,planned_order_number,bom_explosion_number,customer_engineering_change_status,guaranteed,material_staging_time,transp_planning_time,loading_time,time_of_goods_issue,route_schedule,handover_date,handover_time,matr_availability_date,is_quarantined
100,0003883873,40,2,CT,X,2008-10-22 05:00:00.000000,2024-05-01 05:00:00.000000,0.000,70.000,CS,70.000,CS,1900-01-01 06:00:00.000000, , , ,0,0,2008-10-21 05:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2008-10-17 05:00:00.000000,2008-10-21 05:00:00.000000,2008-10-21 05:00:00.000000,2008-10-21 05:00:00.000000,0.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X, ,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208538,140,1,CP,X,2022-06-23 05:00:00.000000,2024-05-01 21:00:00.000000,10.000,10.000,CS,10.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-20 05:00:00.000000,2022-06-22 05:00:00.000000,2022-06-22 05:00:00.000000,2022-06-22 05:00:00.000000,10.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003886615,60,2,ZD,X,2008-10-20 05:00:00.000000,2024-05-01 05:00:00.000000,0.000,10.000,CS,10.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2008-10-17 05:00:00.000000,2008-10-20 05:00:00.000000,2008-10-20 05:00:00.000000,2008-10-20 05:00:00.000000,0.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,941,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208538,150,1,CP,X,2022-06-23 05:00:00.000000,2024-05-01 21:00:00.000000,5.000,5.000,CS,5.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-20 05:00:00.000000,2022-06-22 05:00:00.000000,2022-06-22 05:00:00.000000,2022-06-22 05:00:00.000000,5.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003886615,870,2,ZD,X,2008-10-14 05:00:00.000000,2024-05-01 05:00:00.000000,0.000,2.000,CS,2.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2008-10-12 05:00:00.000000,2008-10-14 05:00:00.000000,2008-10-14 05:00:00.000000,2008-10-14 05:00:00.000000,0.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,941,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208538,421,1,CP,X,2022-06-23 05:00:00.000000,2024-05-01 21:00:00.000000,25.000,25.000,CS,25.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-20 05:00:00.000000,2022-06-22 05:00:00.000000,2022-06-22 05:00:00.000000,2022-06-22 05:00:00.000000,25.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003886615,1480,2,ZD,X,2008-10-05 05:00:00.000000,2024-05-01 05:00:00.000000,0.000,8.000,CS,8.000,CS,1900-01-01 06:00:00.000000,04,1, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2008-10-02 05:00:00.000000,2008-10-05 05:00:00.000000,2008-10-05 05:00:00.000000,2008-10-05 05:00:00.000000,0.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,941,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208539,30,1,CP,X,2022-06-08 05:00:00.000000,2024-05-01 21:00:00.000000,16.000,16.000,CS,16.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-05 05:00:00.000000,2022-06-07 05:00:00.000000,2022-06-07 05:00:00.000000,2022-06-07 05:00:00.000000,16.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0003918661,10,1,CP,X,2007-10-11 05:00:00.000000,2024-05-01 05:00:00.000000,44000.000,44000.000,LB,44000.000,LB,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2007-10-09 05:00:00.000000,2007-10-11 05:00:00.000000,2007-10-11 05:00:00.000000,2007-10-11 05:00:00.000000,44000.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000,2024-05-01 05:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
100,0011208539,130,1,CP,X,2022-06-08 05:00:00.000000,2024-05-01 21:00:00.000000,40.000,40.000,CS,40.000,CS,1900-01-01 06:00:00.000000,05,0, ,0,0,1900-01-01 06:00:00.000000,0, , , , , ,1900-01-01 06:00:00.000000,1,2022-06-05 05:00:00.000000,2022-06-07 05:00:00.000000,2022-06-07 05:00:00.000000,2022-06-07 05:00:00.000000,40.000, ,0, ,0,0.000,0.000,0.000, , ,1,1,X,601,0, , , , , ,0.0,2024-05-01 21:00:00.000000,2024-05-01 20:59:58.000000,2024-05-01 21:00:00.000000,2024-05-01 21:00:00.000000, ,1900-01-01 06:00:00.000000,2024-05-01 05:00:00.000000,1900-01-01 06:00:00.000000,false
