client,originating_document,originating_item,sales_document,document_item,document_category,ref_quan_base_uom,base_uom,ref_value,currency_key,originating_document_category,quan_ind,transfer_order_ind,record_created_on,entry_time,matr_num,movement_type_inv_mgmt,reqmnt_type,planning_type,document_flow_record_level,warehouse_num,changed_on,billing_category,gross_weight,weight_unit,volume,volume_unit,invoice_plan_num,item_for_invoice_plan,ref_quantity_sales_float,ref_quantity_base_uom_float,sales_unit,guaranteed_factor,special_stock_ind,special_stock_num,inv_mgmt_active_ind,net_weight,logical_system,goods_movement_status,quan_conversion_method,matr_document_year,extension_originating_document_category,extension_document_category,is_quarantined,__start_at,__end_at
100,0003873842,10,4900337827,2,R,768.000,CS,6842.88,USD,C, , ,2007-10-08 05:00:00.000000,1900-01-01 14:50:29.000000,000007615021605800,601, , ,1, ,1900-01-01 06:00:00.000000, ,0.000, ,0.000, , ,0,768.0,768.0,CS,0.0, , , ,0.000, , , ,2007, , ,false,2023-10-19 09:05:40.000000,""
100,0003876339,10,9000041256,10,M,1620.000,CS,16264.80,USD,C, , ,2007-09-25 05:00:00.000000,1900-01-01 19:53:21.000000, , , , ,1, ,1900-01-01 06:00:00.000000,L,0.000, ,0.000, , ,0,1620.0,1620.0,CS,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 08:38:47.000000,""
100,0003876599,10,9000181771,10,M,44978.000,LB,10794.72,USD,C, , ,2007-10-16 05:00:00.000000,1900-01-02 01:02:49.000000, , , , ,2, ,1900-01-01 06:00:00.000000,L,0.000, ,0.000, , ,0,44978.0,44978.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 06:12:05.000000,""
100,0003876599,10,9000182976,10,N,44920.000,LB,10780.80,USD,C, , ,2007-10-18 05:00:00.000000,1900-01-01 15:34:12.000000, , , , ,2, ,1900-01-01 06:00:00.000000,L,0.000, ,0.000, , ,0,44920.0,44920.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 06:38:08.000000,""
100,0003877979,10,9000048838,10,5,44926.000,LB,8086.68,USD,C, , ,2007-09-26 05:00:00.000000,1900-01-01 06:33:18.000000, , , , ,3, ,1900-01-01 06:00:00.000000,I,0.000, ,0.000, , ,0,44926.0,44926.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 07:44:55.000000,""
100,0003877979,10,9000051834,10,5,44964.000,LB,8093.52,USD,C, , ,2007-09-26 05:00:00.000000,1900-01-01 21:07:13.000000, , , , ,3, ,1900-01-01 06:00:00.000000,I,0.000, ,0.000, , ,0,44964.0,44964.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 06:58:49.000000,""
100,0003886615,100,4900152211,4,R,9.000,CS,236.97,USD,I, , ,2007-09-26 05:00:00.000000,1900-01-01 17:59:00.000000,000000001627209036,941, , ,1, ,1900-01-01 06:00:00.000000, ,0.000, ,0.000, , ,0,9.0,9.0,CS,0.0, , , ,0.000, , , ,2007, , ,false,2023-10-19 05:07:51.000000,""
100,0003903518,10,0003911946,10,C,44000.000,LB,10560.00,USD,C, , ,2007-09-22 05:00:00.000000,1900-01-01 14:04:36.000000, , , , ,0, ,1900-01-01 06:00:00.000000, ,0.000, ,0.000, , ,0,44000.0,44000.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 06:50:49.000000,""
100,0003903518,10,9000194759,10,N,44994.000,LB,10798.56,USD,C, , ,2007-10-18 05:00:00.000000,1900-01-01 15:37:44.000000, , , , ,2, ,1900-01-01 06:00:00.000000,L,0.000, ,0.000, , ,0,44994.0,44994.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 05:20:07.000000,""
100,0003918662,10,9000128458,10,M,44946.000,LB,10787.04,USD,C, , ,2007-10-12 05:00:00.000000,1900-01-01 20:31:56.000000, , , , ,1, ,1900-01-01 06:00:00.000000,L,0.000, ,0.000, , ,0,44946.0,44946.0,LB,0.0, , , ,0.000, , , ,0, , ,false,2023-10-19 07:09:58.000000,""
